rebalance_date,ticker,original_weight,defended_weight,cash_after_defense,list_action,reason,period_forward_return,bench_return,risk_adjusted_return,risk_return_cap,risk_exit_proxy,relative_trim_or_exit,sector,regime_state,theme_horizon_primary,theme_holding_profile_primary,theme_event_risk_sensitivity_max,theme_structural_growth_max,market_style_regime_label,style_cash_defense_preference,style_row_breakout_fit,style_row_turnaround_fit,score,main_v2_score,risk_penalty,stage2_overext_penalty,explosion_exit_score,rs_acceleration_score
2026-03-31,UI,0.15,0.0,,risk_exit_proxy,distribution_risk_decay,0.2643899430309879,0.0,0.2643899430309879,-0.08,True,False,Information Technology,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.0546527560597645,-0.089518047571482,2.1843000270859623,1.910620615535182,0.0,0.0,-2.022814821491992
2026-03-31,COST,0.123211469723496,0.123211469723496,,hold,hold,0.0219323526411681,0.0,0.0219323526411681,-0.08,False,False,Consumer Staples,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.0943443848317678,4.738416750610655,2.0965201931644573,-4.038252900923676,0.0,0.0,1.216401805388407
2026-03-31,CW,0.1221923139896444,0.1221923139896444,,hold,hold,0.0366414168074324,0.0,0.0366414168074324,-0.08,False,False,Industrials,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.0743044875897173,0.857826035789679,2.0939106376095147,-0.0725007454633863,0.0,0.0,-1.862099949068242
2026-03-31,TPL,0.1164938126019823,0.1164938126019823,,hold,hold,-0.0487311906712029,0.0,-0.0487311906712029,-0.08,False,False,Energy,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.1172324224169348,0.5774242009927585,1.8351538475550917,1.2817162710370011,0.0,0.0,3.0
2026-03-31,WDC,0.0416748911536712,0.0416748911536712,,hold,hold,0.448199647845644,0.0,0.448199647845644,-0.08,False,False,Information Technology,bear,structural_growth,long_duration,0.15,1.0,cash_defense,0.6248291524113772,0.0,0.074497444732587,3.1400048545331325,1.8330596256435965,-0.6019452659644687,0.0,0.0,-2.5923054222841686
2026-03-31,WM,0.0335387845630615,0.0335387845630615,,hold,hold,0.018498457986978,0.0,0.018498457986978,-0.08,False,False,Industrials,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.005553989039918,2.9886764352540114,1.7953743280852112,-1.8008614807171424,0.0,0.0,0.685630867706537
2026-03-31,SU,0.0296806300806274,0.0296806300806274,,hold,hold,0.0522261469479368,0.0,0.0522261469479368,-0.08,False,False,Energy,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.1412100857212556,1.8714460363361545,1.5613841234381274,-0.2827344801351255,0.0,0.0,1.3805278430645225
2026-03-31,CIEN,0.0238255573173901,0.0238255573173901,,hold,hold,0.3125140305576905,0.0,0.3125140305576905,-0.08,False,False,Information Technology,bear,structural_growth,long_duration,0.15,1.0,cash_defense,0.6248291524113772,0.0,0.0407346817578159,1.6551957455986843,1.532351467660802,-0.4251247534245274,0.0,0.0,-2.170013607807701
2026-03-31,SPG,0.0194231046508945,0.0194231046508945,,hold,hold,0.0919318725246158,0.0,0.0919318725246158,-0.08,False,False,Real Estate,bear,unknown,neutral,0.35,0.35,cash_defense,0.6248291524113772,0.0,0.0196109287605993,2.6163854190618494,1.716859979161202,-0.975409338743144,0.0,0.0,-0.0609711714994211
2026-03-31,CASH,0.0,0.15,0.15,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0,0.0,-0.08,False,False,Cash,,,,,,,,,,,,,,,
