row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,GOOG,202.0,379.3800048828125,76634.76098632812,0.19864616845916067
equity,VRT,147.0,327.4599914550781,48136.618743896484,0.12477568603313541
equity,GEV,42.0,1038.739990234375,43627.07958984375,0.11308643871325462
equity,ARM,94.0,306.510009765625,28811.94091796875,0.07468388490501424
equity,MRVL,146.0,196.3300018310547,28664.180267333984,0.07430087220007651
equity,AMD,61.0,467.510009765625,28518.110595703125,0.07392224270839279
equity,UMC,1188.0,18.219999313354492,21645.359184265137,0.056107275752366015
equity,RKLB,140.0,135.75999450683594,19006.39923095703,0.04926678617955527
equity,NXPI,56.0,316.4700012207031,17722.320068359375,0.045938304399677624
equity,MLI,112.0,133.38999938964844,14939.679931640625,0.03872537916515554
equity,TKR,124.0,119.94999694824219,14873.799621582031,0.03855460977797919
equity,HPE,395.0,37.58000183105469,14844.100723266602,0.03847762679686347
equity,ON,127.0,116.19999694824219,14757.399612426758,0.038252887484731206
equity,FIX,7.0,1828.25,12797.75,0.03317324892357613
cash,CASH,0.0,1.0,805.7466288887244,0.0020885885010613566
