ticker,target_weight,Name,sector,portfolio_sleeve_label
GOOG,0.1980367649507865,ALPHABET INC CLASS C,Communication,core_compounder
VRT,0.1244380835846251,VERTIV HOLDINGS CLASS A,Industrials,core_compounder
GEV,0.1153015153591668,GE VERNOVA INC,Industrials,core_compounder
ARM,0.0744284413280043,Arm Holdings,Information Technology,core_compounder
MRVL,0.0744284413280043,MARVELL TECHNOLOGY INC,Information Technology,future_winner
AMD,0.0744284413280043,ADVANCED MICRO DEVICES INC,Information Technology,core_compounder
UMC,0.0559209058481101,United Microelectronics,Semiconductors,early_scout
RKLB,0.0492180451954504,ROCKET LAB CORP,Industrials,future_winner
NXPI,0.0460423292011031,NXP Semiconductors,Semiconductors,future_winner
MLI,0.0385790127056437,MUELLER INDUSTRIES INC,Industrials,future_winner
TKR,0.0385790127056437,TIMKEN,Industrials,early_scout
HPE,0.0383573380079935,HEWLETT PACKARD ENTERPRISE,Information Technology,early_scout
ON,0.0383573380079935,ON SEMICONDUCTOR CORP,Information Technology,early_scout
FIX,0.0338843304494701,COMFORT SYSTEMS USA INC,Industrials,core_compounder
