ticker
PEG
PEGA
PEN
PEP
PFE
PFG
PFGC
PG
PGR
PH
PHM
PK
PKG
PLD
PLNT
PLTR
PM
PNC
PNFP
PODD
POOL
POST
PPC
PPG
PPL
PR
PRI
PRMB
PRU
PSA
PSN
PSTG
PSX
PTC
PVH
PWR
QCOM
QGEN
QRVO
QSR
R
RBA
RBC
RBLX
RBRK
RDDT
REG
REGN
REXR
REYN
