ticker
FAST
FBIN
FCN
FCNCA
FCX
FDS
FE
FERG
FFIV
FHB
FHN
FICO
FIS
FISV
FITB
FIVE
FIX
FLEX
FLO
FLS
FLUT
FND
FNF
FOUR
FOX
FOXA
FRHC
FRPT
FSLR
FTAI
FTI
FTNT
FTV
FWONA
FWONK
G
GAP
GD
GDDY
GE
GEHC
GEN
GEV
GFS
GGG
GILD
GIS
GL
GLOB
GLPI
