stress_window,status,reason
2020,not_backtested,E7 tactical latest sidecar is review-ready but no isolated tactical historical performance was produced
2022,not_backtested,E7 tactical latest sidecar is review-ready but no isolated tactical historical performance was produced
2025-2026 momentum,not_backtested,E7 tactical latest sidecar is review-ready but no isolated tactical historical performance was produced
