rebalance_date,diagnostic_flags,regime_label,previous_regime_label,macro_risk_state,regime_state,cash_weight,cash_target_used,drawdown_before_month,drawdown_after_month,recommended_action
2021-08-31,late_risk_alert,balanced,balanced,green,bull,0.2446837401915781,0.0,0.0,-0.0510432877875282,favor_core_compounders_long_hold
2021-10-29,possible_cash_drag,growth_reentry_alert,risk_off_alert,recovery,bull,0.2578929233068515,0.0,0.0,0.0,staged_reentry_scout_then_scale_confirmed_new_leaders
2021-11-30,possible_cash_drag,balanced,growth_reentry_alert,green,neutral,0.2705134037415163,0.0,0.0,0.0,favor_core_compounders_long_hold
2021-12-31,late_risk_alert,balanced,balanced,green,bull,0.4452105115288151,0.0,0.0,-0.0664622518366851,favor_core_compounders_long_hold
2022-01-31,late_risk_alert,balanced,balanced,green,neutral,0.0834074362672627,0.0,-0.0664622518366851,-0.066934397133859,favor_core_compounders_long_hold
2022-03-31,late_risk_alert;premature_growth_reentry,growth_reentry_alert,balanced,yellow,neutral,0.6996964802373657,0.0,-0.0343025696023816,-0.0992206415373841,slow_new_buys_scout_only_require_confirmation
2022-05-31,balanced_under_drawdown,balanced,risk_off_alert,red,bear,0.6160447760069151,0.0,-0.0946994038159204,-0.1483271175190276,defend_half_trim_stale_leaders_no_tactical_new_buys
2022-06-30,balanced_under_drawdown,balanced,balanced,yellow,bear,0.1226803212180853,0.0,-0.1483271175190276,-0.1119053349477164,slow_new_buys_scout_only_require_confirmation
2022-07-29,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.1580618746348089,0.0,-0.1119053349477164,-0.1257177501167968,slow_new_buys_scout_only_require_confirmation
2022-08-31,balanced_under_drawdown,balanced,balanced,crisis,bear,0.1850181059340384,0.0,-0.1257177501167968,-0.1625105033289823,raise_cash_exit_distribution_only_hold_best_structural_winners
2022-09-30,balanced_under_drawdown,balanced,balanced,crisis,bear,0.109558361823264,0.0,-0.1625105033289823,-0.077505153891424,raise_cash_exit_distribution_only_hold_best_structural_winners
2022-11-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,neutral,0.3460766036807933,0.0,-0.0702196637782114,-0.1068659638956693,slow_new_buys_scout_only_require_confirmation
2022-12-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.0716850062736371,0.0,-0.1068659638956693,-0.0672416659370925,slow_new_buys_scout_only_require_confirmation
2023-01-31,late_risk_alert,balanced,balanced,green,neutral,0.0755186020262204,0.0,-0.0672416659370925,-0.0784759294459733,favor_future_winners_and_monster_breakouts
2023-02-28,late_risk_alert,balanced,balanced,green,neutral,0.2694400954720328,0.0,-0.0784759294459733,-0.0519426345249592,favor_core_compounders_long_hold
2023-03-31,late_risk_alert,balanced,balanced,green,bull,0.103897090663952,0.0,-0.0519426345249592,-0.050785318943998,favor_future_winners_and_monster_breakouts
2023-08-31,late_risk_alert,balanced,balanced,green,bull,0.5075041576336822,0.0,0.0,-0.0639775536332614,favor_core_compounders_long_hold
2024-06-28,possible_cash_drag,balanced,balanced,green,neutral,0.3123678090443532,0.0,0.0,-0.0113345694080097,favor_core_compounders_long_hold
2025-06-30,possible_cash_drag,balanced,balanced,green,bull,0.2649881670989199,0.0,0.0,-0.0013272294138669,favor_future_winners_and_monster_breakouts
2026-01-30,possible_cash_drag,balanced,balanced,green,neutral,0.2969130801111407,0.0,0.0,0.0,favor_core_compounders_long_hold
