rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month,regime_state,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,market_style_regime_label,regime_state_from_candidates,macro_risk_score,macro_risk_state,macro_style_state,recommended_cash_floor,recommended_target_n,recommended_core_capacity,recommended_future_capacity,recommended_early_capacity,recommended_concentrated_capacity,recommended_tactical_capacity,recommended_new_buy_policy,recommended_trim_policy,recommended_action,research_only,production_activation_allowed
2019-04-30,2019-05-31,balanced,0.1,0.4,0.5,0.0,0.245372411687573,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0080028608460158,0.991997139153984,bull,0.2919358790165737,0.2126478798868988,0.4042767419657593,0.07767667593849112,0.0888814424622051,0.11504575354592707,0.1515484214783627,0.1365602527091192,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.3051022124068113,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0080028608460158,0.0,1.0374607652749446,bear,0.041817599184119494,0.20035239202295904,0.41954324116608005,0.5907781509154044,0.3539781394797397,0.0,0.0,0.23878115299702948,cash_defense,bear,0.99,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2019-06-28,2019-07-31,balanced,0.1,0.4,0.5,0.0,0.0343709961527293,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0416959768201783,neutral,0.3200476429089728,0.2490686750288238,0.3473755098357439,0.028630947181852606,0.13800300483131417,0.0,0.0,0.10704724259646926,balanced,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-07-31,2019-08-30,balanced,0.1,0.4,0.5,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0526668281024052,neutral,0.19325169329759986,0.23713242253017464,0.5002234056667529,0.1761580216864645,0.1535862108558074,0.08971161512466938,0.0765660873921959,0.14461034094072905,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-08-30,2019-09-30,balanced,0.1,0.4,0.5,0.0,0.0953996141646188,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0082851661311231,1.0439453085508543,neutral,0.14830043835189502,0.15720894629598042,0.5328188190887382,0.41002015889497007,0.1433473009338629,0.0,0.0,0.232722478908255,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-09-30,2019-10-31,balanced,0.1,0.4,0.5,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0082851661311231,0.0,1.0573641172874886,neutral,0.20277360381095913,0.3080022072301956,0.5114965142472673,0.07462060150947561,0.24772235261474837,0.4668566237334312,0.42770545681325706,0.2069518062740028,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-10-31,2019-11-29,growth_reentry_alert,0.1,0.4,0.5,0.0,0.0315300691367187,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,-0.0028761274857759,1.0543230032872848,neutral,0.5561306623096678,0.41646764826902855,0.48535922955991856,0.011230382130234999,0.413543118338901,0.3249096942471593,0.4148573589770666,0.15572695328558311,breakout_growth,neutral,0.18,recovery,breakout_growth,0.1,14,0.25,0.4,0.3,0.1,0.03,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2019-11-29,2019-12-31,balanced,0.1,0.4,0.5,0.0,0.0379196945591322,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,-0.0028761274857759,0.0,1.0851936441563823,bull,0.39513870098090964,0.33197130204096065,0.36423893135767305,0.022086703843630706,0.43184690552301536,0.16415224472022064,0.07750073440949559,0.11523492297323058,balanced,bull,0.0,green,breakout_growth,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_future_winners_and_monster_breakouts,True,False
2019-12-31,2020-01-31,balanced,0.1,0.4,0.5,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.1525778385099874,neutral,0.3725728541635828,0.2815343031489804,0.5425854140932218,0.0948759499090721,0.18057063733538498,0.5333428856677235,0.7352571999068758,0.2157346397720552,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-01-31,2020-02-28,balanced,0.1,0.4,0.5,0.0,0.2104893967171246,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.0128842556798421,1.137727730947705,neutral,0.21818434360818761,0.1185409521350893,0.5955469890561972,0.5048248423345576,0.12518978279938775,0.0,0.0,0.2831163311492473,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-02-28,2020-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.8347904002098663,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.0128842556798421,-0.0687082136278057,1.0733862741589686,bear,0.04752608467315061,0.1694825792929677,0.45277467475047206,0.6453811942759752,0.20400903513410756,0.0,0.0,0.2710424194839777,cash_defense,bear,1.0,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2020-03-31,2020-04-30,systemic_alert,0.2,0.3,0.1,0.4,0.3595863350304045,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0687082136278057,0.0,1.1916692933202735,deep_bear,0.12877448387544949,0.27242994935335846,0.44300936100259736,0.66,0.3247746319844686,0.0,0.0,0.2686423188330873,cash_defense,deep_bear,1.0,crisis,cash_defense,0.45,18,0.3,0.15,0.05,0.0,0.0,risk_reduction_only,exit_distribution_hold_only_true_winners,raise_cash_exit_distribution_only_hold_best_structural_winners,True,False
2020-04-30,2020-05-29,balanced,0.1,0.4,0.5,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.366147035541535,bear,0.20753898020892836,0.5364810775716621,0.21076622107925103,0.1883756376909423,0.7181883969757165,0.10262409310575658,0.15381961478294182,0.0999944250696625,turnaround_accumulation,bear,0.32,green,turnaround_accumulation,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_early_scout_turnaround_accumulation,True,False
2020-05-29,2020-06-30,balanced,0.1,0.4,0.5,0.0,0.0046790611297636,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.4217083999639109,neutral,0.3669088927576759,0.441770772288737,0.45459983246399965,0.0924348230362977,0.3773165028118432,0.1885601382964226,0.35140599087855945,0.15433835594289208,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-06-30,2020-07-31,balanced,0.1,0.4,0.5,0.0,0.0012181813938453,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.5389591657683337,bull,0.4214120308929348,0.3592519960748878,0.43703470920311044,0.051566911386353914,0.18890174071633895,0.12556118019194693,0.2511223603838939,0.1616882558099779,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-07-31,2020-08-31,balanced,0.1,0.4,0.5,0.0,0.0407888713184112,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.678248243041609,bull,0.33842442343764884,0.378833491163708,0.3945587909919534,0.028179071167084197,0.3959918230716711,0.17809298266090304,0.3261299860615316,0.1902933151708554,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-08-31,2020-09-30,balanced,0.1,0.4,0.5,0.0,0.1582601272641463,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0258087731738783,1.6349347148074882,neutral,0.37330326610595954,0.38979537574742396,0.6260845972968225,0.05992102919553578,0.39027835165999925,0.7053901539646349,0.8983436748473923,0.3000854509208115,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-09-30,2020-10-30,balanced,0.1,0.4,0.5,0.0,0.2827621166911045,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0258087731738783,-0.0254560079574075,1.6355267424122366,neutral,0.16797230522900247,0.22157118350987656,0.5642819378028366,0.2827779486761614,0.17154849534804034,0.0930714269593832,0.12834285456358477,0.1714153838561816,quality_compounder,neutral,0.25,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-10-30,2020-11-30,risk_off_alert,0.18,0.36,0.18,0.28,0.3387373437429286,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.0254560079574075,0.0,1.7392724257035117,neutral,0.1405070831808075,0.2766394319027778,0.7006961629716245,0.5006181391031215,0.34942079705578527,0.42056763705630035,0.3080162360500906,0.4020156634022767,quality_compounder,neutral,0.77,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2020-11-30,2020-12-31,growth_reentry_alert,0.1,0.4,0.5,0.0,0.0564747662588068,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.8198187185137935,neutral,0.4005006715131696,0.38617357540994557,0.34776313934423403,0.004185762774673399,0.5267306926035102,0.0874208807415693,0.1748417614831387,0.1479107307239887,balanced,neutral,0.18,recovery,breakout_growth,0.1,14,0.25,0.4,0.3,0.1,0.03,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2020-12-31,2021-01-29,balanced,0.1,0.4,0.5,0.0,0.1645715144741878,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0090538393772948,1.8033423721405752,bull,0.2843913809958489,0.2033146674415716,0.3505062257290611,0.06607422137243528,0.19248780718709066,0.0,0.0,0.16720492362581812,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-01-29,2021-02-26,risk_off_alert,0.18,0.36,0.18,0.28,0.4246250471881212,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0090538393772948,0.0,1.8779978794456784,neutral,0.2104118892433147,0.23668537400418224,0.6240296414014049,0.5230991462538803,0.5766568840005483,0.4100865223424653,0.3187790910739881,0.4627660101147376,quality_compounder,neutral,0.77,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2021-02-26,2021-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.4399605423909015,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0027838997982458,1.8727697215279837,neutral,0.12479441857369006,0.25208420270768345,0.8267071093743591,0.4960395901421719,0.2936650461629808,0.75,0.5999999999999999,0.518293090839643,quality_compounder,neutral,0.77,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2021-03-31,2021-04-30,growth_reentry_alert,0.1,0.4,0.5,0.0,0.1919362797895492,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0027838997982458,0.0,1.9441592046665104,bull,0.1992425062150289,0.2739135524332985,0.42952181747427703,0.025894243414224995,0.2287938014202369,0.556707474596938,0.23244624506938602,0.2620144601140685,balanced,bull,0.07999999999999999,recovery,quality_compounder,0.1,14,0.25,0.4,0.3,0.1,0.03,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2021-04-30,2021-05-28,balanced,0.1,0.4,0.5,0.0,0.1156253404111153,rebalance,"core_compounder,early_scout,future_winner",1,21,0.0,-0.0036150996355152,1.937130875434337,bull,0.3344338628815735,0.2470647008980121,0.42374803559260876,0.048539374978642594,0.19807314377845467,0.26466402602939343,0.46490655982433465,0.22368948187923982,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-05-28,2021-06-30,balanced,0.1,0.4,0.5,0.0,0.0672127971662621,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0036150996355152,0.0,2.056257038064987,bull,0.22194854139190018,0.2309669866295692,0.41840279907803757,0.11543204724790182,0.1799911732207948,0.25,0.3999999999999999,0.21970943398424486,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-06-30,2021-07-30,balanced,0.1,0.4,0.5,0.0,0.0915535873939125,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.2028882102063405,bull,0.3457196430371736,0.18901399419269202,0.34443720075601936,0.0611999426497139,0.14780560981876636,0.0651405483404735,0.1042248773447576,0.1699026075118193,balanced,bull,0.0,green,breakout_growth,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_future_winners_and_monster_breakouts,True,False
2021-07-30,2021-08-31,balanced,0.1,0.4,0.5,0.0,0.0977168278159199,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.3588199104891023,neutral,0.24774819389993036,0.2768398618337273,0.3681458282298524,0.11644274509378702,0.3742712704709805,0.0459905664974466,0.0735849063959146,0.1770749882014426,balanced,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-08-31,2021-09-30,balanced,0.1,0.4,0.5,0.0,0.2446837401915781,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0510432877875282,2.2384179869590555,bull,0.3142237443111586,0.2828662656277174,0.36180021546680047,0.0125287134173563,0.23426647976949339,0.1609040433829918,0.05650606721010289,0.16508736681338027,balanced,bull,0.08,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-09-30,2021-10-29,risk_off_alert,0.18,0.36,0.18,0.28,0.2944005258507151,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0510432877875282,0.0,2.4365934294999407,neutral,0.10252626030535417,0.2441785640239576,0.7534209083710276,0.5276639920086333,0.13941394948719904,0.42354825171209537,0.3070965034241908,0.38967626528285454,quality_compounder,neutral,0.85,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2021-10-29,2021-11-30,growth_reentry_alert,0.1,0.4,0.5,0.0,0.2578929233068515,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.4564754771903616,bull,0.3563570184794523,0.34031547162211384,0.33734584004391754,0.021309257874962708,0.29589126470220745,0.04916657013190011,0.016952226496754496,0.1087243816075598,balanced,bull,0.22999999999999998,recovery,breakout_growth,0.1,14,0.25,0.4,0.3,0.1,0.03,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2021-11-30,2021-12-31,balanced,0.1,0.4,0.5,0.0,0.2705134037415163,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.515267664997517,neutral,0.1911040507038565,0.2464792361474249,0.6320266610958826,0.5009153746961674,0.25125032436244515,0.25,0.39999999999999997,0.3303798028021649,quality_compounder,neutral,0.25,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2021-12-31,2022-01-31,balanced,0.1,0.4,0.5,0.0,0.4452105115288151,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0664622518366851,2.348097312009781,bull,0.2503444384277804,0.3385122339451989,0.5430590407139763,0.0795389331430811,0.1146388923718756,0.4387390554984996,0.6135549058380917,0.18930978525137274,quality_compounder,bull,0.22999999999999998,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2022-01-31,2022-02-28,balanced,0.1,0.4,0.5,0.0,0.0834074362672627,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0664622518366851,-0.066934397133859,2.346909740210619,neutral,0.09171797710094651,0.34729660852068317,0.8442050472652475,0.52093755407247,0.18859366889129486,0.6787026327944223,0.6162423935068944,0.4183192151774965,quality_compounder,neutral,0.18,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
