ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key,auto_trade_allowed,paper_only,approval_required,crisis_state,paper_action_types,approval_status
ALAB,SELL,25.0,397.8399963378906,396.8453963470459,9945.999908447266,24.864999771118164,9921.134908676147,100.0,0.0600642255484873,0.044870436711056,29720.27727618912,39783.99963378906,-10063.722357599943,limit,day,target_rebalance,ready,44436.29185670613,r1k-M-20260702-S-ALAB-f483ee514077,f483ee514077dcb535e6421a43838e7e07f7b20bcbadd46f5df1374b32e9b996,False,True,True,GREEN,no_op,pending_user_approval
UMC,SELL,257.0,24.354999542236328,24.29411204338074,6259.234882354736,15.64808720588684,6243.58679514885,1938.0,0.071260577570305,0.0617817604023048,40921.621993377004,47199.989112854,-6278.367119477,limit,day,target_rebalance,ready,50679.878651854975,r1k-M-20260702-S-UMC-0cb2f4645659,0cb2f46456593dd8a1be9f39c63432cc5a79afff14d6090d1a39bcfd7e17f9a2,False,True,True,GREEN,no_op,pending_user_approval
MRVL,SELL,23.0,241.1501007080078,240.5472254562378,5546.45231628418,13.86613079071045,5532.586185493469,147.0,0.0535195215029778,0.044870436711056,29720.27727618912,35449.06480407715,-5728.787527888031,limit,day,target_rebalance,ready,56212.464837348445,r1k-M-20260702-S-MRVL-9c14b8bd9d97,9c14b8bd9d97d40cf765e963ace3958807762cd629f7d261304468b6c3410cf9,False,True,True,GREEN,no_op,pending_user_approval
SNDK,SELL,2.0,1712.0,1707.72,3424.0,8.56,3415.44,44.0,0.1137270768088818,0.106242478584349,70370.51906513805,75328.0,-4957.480934861946,limit,day,target_rebalance,ready,59627.90483734845,r1k-M-20260702-S-SNDK-c3a9cc861f9b,c3a9cc861f9b3d3e68f9f5d6ae1a285bced23a2220eca11ff26216069495c11a,False,True,True,GREEN,no_op,pending_user_approval
WDC,SELL,5.0,536.510009765625,535.168734741211,2682.550048828125,6.7063751220703125,2675.8436737060547,85.0,0.0688500395947679,0.0642211559128242,42537.37428537695,45603.350830078125,-3065.976544701174,limit,day,target_rebalance,ready,62303.7485110545,r1k-M-20260702-S-WDC-9ecae332310b,9ecae332310b0a50bba533c4fda2b19e9d224d5227586a63c749f5d91c7f9faa,False,True,True,GREEN,no_op,pending_user_approval
AMD,SELL,4.0,511.4363098144531,510.157719039917,2045.7452392578125,5.114363098144532,2040.630876159668,63.0,0.0486451499948826,0.044870436711056,29720.27727618912,32220.487518310547,-2500.210242121429,limit,day,target_rebalance,ready,64344.37938721417,r1k-M-20260702-S-AMD-b662b542a6fb,b662b542a6fbf1a2d5eca58e3c9745c383207a66d7e9c0e3d8de6c5d701cf91c,False,True,True,GREEN,no_op,pending_user_approval
STM,SELL,28.0,67.6500015258789,67.48087652206421,1894.2000427246091,4.735500106811523,1889.4645426177976,468.0,0.0477992523151863,0.044870436711056,29720.27727618912,31660.200714111328,-1939.9234379222107,limit,day,target_rebalance,ready,66233.84392983197,r1k-M-20260702-S-STM-653e25fef348,653e25fef3480359f89d2bf5ebad61a2503e76b22b9c6b9843ddb3dfba6b5220,False,True,True,GREEN,no_op,pending_user_approval
NXT,BUY,81.0,111.0199966430664,111.29754663467406,8992.619728088379,22.481549320220942,-9015.1012774086,396.0,0.066374893206735,0.08,52988.61246673107,43963.9186706543,9024.693796076775,limit,day,target_rebalance,ready,57218.742652423374,r1k-M-20260702-B-NXT-76cd633a8692,76cd633a86921c5281b251f9eca067932a633f6a5dedd60d9c0ce20c630c64da,False,True,True,GREEN,no_op,pending_user_approval
CIEN,BUY,16.0,419.5101013183594,420.5588765716553,6712.16162109375,16.780404052734376,-6728.942025146484,68.0,0.0430684036613473,0.0537158507507146,35579.10498437977,28526.68688964844,7052.418094731329,limit,day,target_rebalance,ready,50489.80062727689,r1k-M-20260702-B-CIEN-9689805a3505,9689805a3505a7786f375033da39a69320923a1f4f7edb00599bf12602f5f128,False,True,True,GREEN,no_op,pending_user_approval
RKLB,BUY,60.0,99.8000030517578,100.0495030593872,5988.000183105469,14.970000457763671,-6002.970183563232,452.0,0.0681045972399698,0.0771797818207897,51120.61936460852,45109.60137939453,6011.0179852139845,limit,day,target_rebalance,ready,44486.83044371366,r1k-M-20260702-B-RKLB-5c979d1d382b,5c979d1d382b00206ed80607e88d2069f08e93f69f9081a66684816b6f2b9d08,False,True,True,GREEN,no_op,pending_user_approval
