as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-05-12,AMAT,52.0,431.20001220703125,22422.400634765625,0.063500665860782,339.03820037841797,4792.414215087891,1215.685607471466
2026-05-12,APH,123.0,127.87000274658203,15728.01033782959,0.044542024976973724,133.93607862867125,-746.1273334969737,3610.1864854325495
2026-05-12,ATI,85.0,161.00999450683594,13685.849533081055,0.03875858666416177,166.4199981689453,-459.8503112792969,219.7607462120056
2026-05-12,BKNG,85.0,160.55999755859375,13647.599792480469,0.0386502626699248,166.81065368652344,-531.3057708740234,2625.8317299461346
2026-05-12,ETR,134.0,112.93000030517578,15132.620040893555,0.04285586831077507,106.05122375488281,921.7560577392578,1817.3864960861158
2026-05-12,FTI,240.0,73.19000244140625,17565.6005859375,0.0497461155752484,67.44703674316406,1378.311767578125,0.0
2026-05-12,GOOGL,61.0,387.3500061035156,23628.350372314453,0.06691593849712281,334.50663613638636,3223.445567994884,12092.962325853527
2026-05-12,LRCX,81.0,289.239990234375,23428.439208984375,0.06634978627322664,164.59198192367415,10096.488673166768,3708.2553195051987
2026-05-12,MU,46.0,766.5800170898438,35262.68078613281,0.09986458392344408,237.47716546827746,24338.73117459205,9568.186626921624
2026-05-12,PR,764.0,20.170000076293945,15409.880058288574,0.04364107396328034,18.6336612701416,1173.7628479003906,646.3632857537269
2026-05-12,RGLD,54.0,245.35000610351562,13248.900329589844,0.03752113819372416,303.7432556152344,-3153.2354736328125,0.0
2026-05-12,SCCO,80.0,188.8514862060547,15108.118896484375,0.04278648060293429,215.54183959960938,-2135.228271484375,0.0
2026-05-12,VRT,62.0,367.1300048828125,22762.060302734375,0.06446258851274933,257.68865966796875,6785.3634033203125,1564.0299806404107
2026-05-12,VZ,344.0,47.93000030517578,16487.92010498047,0.04669410391777073,49.239402770996094,-450.4344482421875,-281.2494560337067
