rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,portfolio_sleeve_role,policy_id
2019-04-30,CHTR,0.1954966941191099,CHARTER COMMUNICATIONS INC CLASS A,Communication,core_compounder,core_compounder,fast_reentry
2019-04-30,V,0.1478831991352493,VISA INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-04-30,NOW,0.07145141578696,SERVICENOW INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,AVGO,0.07145141578696,BROADCOM INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,DHR,0.0586922270663725,DANAHER CORP,Health Care,core_compounder,core_compounder,fast_reentry
2019-04-30,AMT,0.0573493484368295,AMERICAN TOWER REIT CORP,Real Estate,core_compounder,core_compounder,fast_reentry
2019-04-30,CSX,0.0533397616781279,CSX CORP,Industrials,core_compounder,core_compounder,fast_reentry
2019-04-30,MELI,0.053318261949641,MercadoLibre,Internet,core_compounder,core_compounder,fast_reentry
2019-04-30,CDNS,0.0525698998505046,CADENCE DESIGN SYSTEMS INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,FDS,0.0476895552380489,FACTSET RESEARCH SYSTEMS INC,Financials,core_compounder,core_compounder,fast_reentry
2019-04-30,PAYC,0.0476895552380489,PAYCOM SOFTWARE INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-04-30,VICI,0.0476895552380489,VICI PPTYS INC,Real Estate,core_compounder,core_compounder,fast_reentry
2019-04-30,KEYS,0.0476895552380489,KEYSIGHT TECHNOLOGIES INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,CPRT,0.0476895552380489,COPART INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-05-31,CASH,0.2800000000000002,Cash,Cash,cash,cash,fast_reentry
2019-05-31,NOW,0.1059640579945549,SERVICENOW INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-05-31,V,0.0788584363739062,VISA INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-05-31,DHR,0.0639628975943502,DANAHER CORP,Health Care,core_compounder,core_compounder,fast_reentry
2019-05-31,MA,0.0633570194271671,MASTERCARD INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-05-31,AMT,0.0593486984646977,AMERICAN TOWER REIT CORP,Real Estate,core_compounder,core_compounder,fast_reentry
2019-05-31,HD,0.0539487127331086,HOME DEPOT INC,Consumer Discretionary,core_compounder,core_compounder,fast_reentry
2019-05-31,UNH,0.0521588656931295,UNITEDHEALTH GROUP INC,Health Care,core_compounder,core_compounder,fast_reentry
2019-05-31,ADBE,0.0415033916993322,ADOBE INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-05-31,PAYC,0.0399360488459203,PAYCOM SOFTWARE INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-05-31,SUI,0.0322287632089182,SUN COMMUNITIES REIT INC,Real Estate,core_compounder,core_compounder,fast_reentry
2019-05-31,AZO,0.0307681675318719,AUTOZONE INC,Consumer Discretionary,core_compounder,core_compounder,fast_reentry
2019-05-31,ELS,0.0290884439459253,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,core_compounder,core_compounder,fast_reentry
2019-05-31,PEG,0.0290884439459253,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,core_compounder,core_compounder,fast_reentry
2019-05-31,SHOP,0.0290884439459253,Shopify,Software,core_compounder,core_compounder,fast_reentry
2019-05-31,CHTR,0.0020140411442273,CHARTER COMMUNICATIONS INC CLASS A,Communication,core_compounder,core_compounder,fast_reentry
2019-05-31,MELI,0.0017526652546165,MercadoLibre,Internet,core_compounder,core_compounder,fast_reentry
2019-05-31,CSX,0.0017374851568425,CSX CORP,Industrials,core_compounder,core_compounder,fast_reentry
2019-05-31,CPRT,0.0017345004669266,COPART INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-05-31,FDS,0.0017315984846697,FACTSET RESEARCH SYSTEMS INC,Financials,core_compounder,core_compounder,fast_reentry
2019-05-31,VICI,0.0017293180879836,VICI PPTYS INC,Real Estate,core_compounder,core_compounder,fast_reentry
2019-06-28,HD,0.1621891871940401,HOME DEPOT INC,Consumer Discretionary,core_compounder,core_compounder,fast_reentry
2019-06-28,MA,0.1518432169199716,MASTERCARD INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-06-28,V,0.1332873938057711,VISA INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-06-28,FDS,0.075027179377081,FACTSET RESEARCH SYSTEMS INC,Financials,core_compounder,core_compounder,fast_reentry
2019-06-28,SHOP,0.0695294831792911,Shopify,Software,core_compounder,core_compounder,fast_reentry
