rebalance_date,ticker,weight,baseline_weight,stage,months_held,cum_return,peak_return,period_forward_return,weighted_forward_return,monster_onset_score,sector,portfolio_defensive_rotation_action
2019-04-30,NOW,0.33,0.063589888175541,scout,1,-0.04085514798744905,0.0,-0.040855147987449,-0.01348219883585817,1.3956535924462927,Information Technology,promote_monster_early
2019-04-30,CDNS,0.33,0.0582823895207959,scout,1,-0.07999999999999996,0.0,-0.08,-0.026400000000000003,1.357444520980636,Information Technology,promote_monster_early
2019-04-30,EL,0.33,0.0581577945880409,scout,1,-0.07999999999999996,0.0,-0.08,-0.026400000000000003,1.0208782426065195,Consumer Staples,neutral
2019-05-31,NOW,0.10841178376374272,0.0863999999999999,confirm,2,0.03232535585954244,0.03232535585954244,0.0762976558685986,0.008271564969706968,0.9178521913480652,Information Technology,promote_monster_early
2019-05-31,CDNS,0.26257086026765997,,scout,2,0.06589791711267368,0.06589791711267368,0.1585846925137757,0.041639719138624416,0.31711596477786747,Information Technology,neutral
2019-05-31,EL,0.26257086026765997,,scout,2,0.040265251113821954,0.040265251113821954,0.1307230990367629,0.03432407657093735,0.007732935698376464,Consumer Staples,neutral
2019-05-31,SHOP,0.027694518627523403,0.0341104390449537,scout,1,0.12512764973378965,0.12512764973378965,0.1251276497337896,0.0034653500263706594,0.9523305619248055,Software,neutral
2019-05-31,PYPL,0.02700030813187456,0.033255402526187,scout,1,0.05067973659302649,0.05067973659302649,0.0506797365930264,0.0013683685040539516,0.8622863018725293,Financials,neutral
2019-05-31,AMT,0.03175166894153937,0.0391074993060019,scout,1,-0.014244982331676703,0.0,-0.0142449823316767,-0.00045230196307347617,0.8199110174146653,Real Estate,neutral
2019-06-28,NOW,0.15025387448903577,0.0820536467137479,confirm,3,0.015448853611271796,0.03232535585954244,-0.0163480458486064,-0.002456357229077508,0.8037856397510111,Information Technology,neutral
2019-06-28,CDNS,0.33,,confirm,3,0.11246493325620377,0.11246493325620377,0.0436880637403549,0.014417061034317119,0.821451959180686,Information Technology,neutral
2019-06-28,EL,0.30489068708619077,,scout,3,0.0607464525088548,0.0607464525088548,0.0196884413596469,0.006002822413798919,0.5828908294397886,Consumer Staples,neutral
2019-06-28,SHOP,0.09927916467674494,0.0542163556988081,confirm,2,0.2177702198395275,0.2177702198395275,0.082339608423682,0.00817460754411342,0.7810971575526732,Software,neutral
2019-06-28,PYPL,0.003901976264562332,0.0021308693901347,confirm,2,-0.005761062271518402,0.05067973659302649,-0.0537183662145822,-0.00020960778994036684,0.7842617589140919,Financials,neutral
2019-06-28,AMT,0.06704467742411487,0.0565838832925331,scout,2,0.010326610269920877,0.010326610269920877,0.0249266726125507,0.0016712007245649804,0.23955225822402657,Real Estate,neutral
2019-06-28,ADBE,0.002942180705824646,0.0024831204516176,scout,1,-0.0013353160166402755,0.0,-0.0013353160166403,-3.928741020337713e-06,1.126132941166481,Information Technology,neutral
2019-06-28,HEI,0.03668125305539451,0.0309579793900801,scout,1,0.019299599967566472,0.019299599967566472,0.0192995999675664,0.0007079335102781868,1.0865302896626403,Industrials,neutral
2019-06-28,V,0.005006186298132169,0.0042250850047688,scout,1,0.02201565057152788,0.02201565057152788,0.0220156505715278,0.00011021444823564813,0.8293581566970201,Financials,neutral
2019-07-31,NOW,0.13666951074779032,0.0825670215608676,confirm,4,-0.03320396794989544,0.03232535585954244,-0.0479126264096332,-0.0065481952100462275,0.05314706246324985,Information Technology,neutral
2019-07-31,CDNS,0.33,,confirm,4,0.04623780348644213,0.11246493325620377,-0.0595318807721099,-0.01964552065479627,0.5878963109263059,Information Technology,neutral
2019-07-31,EL,0.03294077169823552,0.0307556552543102,scout,4,0.1337008193823115,0.1337008193823115,0.0687764420054448,0.002265549074318293,0.48683184275715774,Consumer Staples,neutral
2019-07-31,SHOP,0.12797647711109586,0.0773152438104164,confirm,3,0.40002924860907396,0.40002924860907396,0.1496661897295894,0.019153751704233727,0.5234386485393813,Software,neutral
2019-07-31,PYPL,0.006329592050276545,,confirm,3,-0.00864159441294976,0.05067973659302649,-0.0028972232248442,-1.8338241091850425e-05,-0.13505804951284353,Financials,rotate_out_stale_core
2019-07-31,ADBE,0.004772659376530973,,confirm,2,-0.040527406528388044,0.0,-0.0392444943135696,-0.0001873006037628744,0.8995249342845013,Information Technology,neutral
2019-07-31,HEI,0.08635622512568544,0.0521709360255604,confirm,2,0.06110289756582454,0.06110289756582454,0.0410117865243822,0.0035416230699061016,0.9885343167100388,Industrials,neutral
2019-07-31,V,0.12791837517174745,0.1194329472155176,scout,2,0.031086704683440436,0.031086704683440436,0.0088756508834673,0.0011353588396048218,0.3886354196805878,Financials,neutral
2019-07-31,CTAS,0.03891008442658585,0.0363289953709336,scout,1,0.005860763092042864,0.005860763092042864,0.0058607630920428,0.00022804278671560368,1.0847055871503317,Industrials,neutral
2019-07-31,HD,0.05035404372056516,0.0470138229765006,scout,1,0.057485750712960915,0.057485750712960915,0.0574857507129609,0.002894640004709943,0.8705547674381556,Consumer Discretionary,neutral
2019-07-31,MA,0.05777226057148692,0.053939954585035,scout,1,0.022122301301678027,0.022122301301678027,0.022122301301678,0.0012780553552414857,0.798148721092214,Financials,neutral
2019-08-30,NOW,0.08467985895468019,0.0806343294141672,confirm,5,-0.06530972315584482,0.03232535585954244,-0.0332084060563102,-0.0028120831409580954,0.1664029507255726,Information Technology,neutral
2019-08-30,CDNS,0.33,,confirm,5,-0.0018934975330824333,0.11246493325620377,-0.0460041692807636,-0.015181375862651988,0.12398158239549739,Information Technology,neutral
2019-08-30,EL,0.06574805198101542,0.0626069781790062,confirm,5,0.1461463110669754,0.1461463110669754,0.0109777566284592,0.000721766113442872,0.7764273162515449,Consumer Staples,neutral
2019-08-30,SHOP,0.09355156826719917,0.063099890340812,winner,4,0.2880269087203482,0.40002924860907396,-0.08,-0.0074841254613759334,0.7664491794315131,Software,neutral
2019-08-30,ADBE,0.00491186772760486,,confirm,3,-0.08464460555762687,0.0,-0.0459806766023527,-0.00022585100149653212,0.4477401350555588,Information Technology,neutral
2019-08-30,HEI,0.12547066312759675,,winner,3,-0.11371064257461794,0.06110289756582454,-0.1647470198615663,-0.02067091783032608,0.9327859438034377,Industrials,neutral
2019-08-30,V,0.08829459407682894,0.1299362124024363,scout,3,-0.011751236639021556,0.031086704683440436,-0.0415464006352539,-0.003668322579443051,0.4988484148619803,Financials,neutral
2019-08-30,CTAS,0.04004500905996872,,confirm,2,0.0032941531412753466,0.005860763092042864,-0.0025516553035409,-0.00010218105974821258,1.0214671781719888,Industrials,neutral
2019-08-30,HD,0.04473625507739848,0.065834829443447,scout,2,0.09476457674323568,0.09476457674323568,0.0352523199533811,0.001577056777504521,0.2862270617259374,Consumer Discretionary,neutral
2019-08-30,MA,0.06913784875597946,0.065834829443447,confirm,2,-0.008907480616049734,0.022122301301678027,-0.0303581889155644,-0.0020988998737497436,0.9629097744170056,Financials,neutral
2019-08-30,DG,0.026243378605094805,0.0386203170448011,scout,1,0.02779749202173365,0.02779749202173365,0.0277974920217336,0.0007295001073984571,0.8312383765982865,Consumer Staples,promote_monster_early
2019-08-30,JKHY,0.027180904366633184,0.04,scout,1,0.01651923297302882,0.01651923297302882,0.0165192329730288,0.0004490076916500294,0.7709115400132952,Financials,neutral
2019-09-30,EL,0.09637420430760094,,confirm,6,0.11030778288354659,0.1461463110669754,-0.031268720090427,-0.0030134980184319976,0.6373840344513908,Consumer Staples,neutral
2019-09-30,SHOP,0.19359373920488143,,winner,5,0.2948873635757916,0.40002924860907396,0.0053263288282223,0.0010311439140903095,-0.35777547320420083,Software,neutral
2019-09-30,ADBE,0.007199868736016525,,confirm,4,-0.10347729206608469,0.0,-0.0205741798462121,-0.00014813139424392377,-0.16900410731545512,Information Technology,rotate_out_stale_core
2019-09-30,HEI,0.259646473974762,,winner,4,-0.14300587089871486,0.06110289756582454,-0.0330537967974678,-0.008582301789940794,-0.16494614151148376,Industrials,neutral
2019-09-30,CTAS,0.08286833865008385,,winner,3,0.02784121008257001,0.02784121008257001,0.0244664606730127,0.002027494948620175,0.9255379667571659,Industrials,neutral
2019-09-30,MA,0.07732819757241916,0.0516994648341277,confirm,3,0.01974466107119155,0.022122301301678027,0.0289096538686934,0.002235531426108575,0.12626563769892507,Financials,neutral
2019-09-30,DG,0.10710725039544192,0.0716089046316307,confirm,2,0.04106330279095349,0.04106330279095349,0.0129070277678196,0.0013824362549887757,0.9165413276206676,Consumer Staples,neutral
2019-09-30,JKHY,0.03984206302342849,,confirm,2,-0.01639484799451696,0.01651923297302882,-0.0323792013962013,-0.001290054182675736,0.7581519855491133,Financials,neutral
2019-09-30,LHX,0.041017987946943814,0.042381736739156,scout,1,-0.015646739512747754,0.0,-0.0156467395127477,-0.0006417977727428548,1.075195985058256,Industrials,neutral
2019-09-30,MLM,0.04223157146645963,0.0436356689725368,scout,1,-0.03928448039613852,0.0,-0.0392844803961385,-0.0016590453413722554,0.96941217588716,Materials,promote_monster_early
2019-09-30,NEE,0.05279030472196221,0.0834497508807211,scout,1,0.028127210625797705,0.028127210625797705,0.0281272106257977,0.001484844019914674,0.7994077090715025,Utilities,neutral
2019-10-31,ADBE,0.037803535028810724,,confirm,5,-0.04213330361877221,0.0,0.0684243554618744,0.0025866825185267657,0.1710061244355327,Information Technology,neutral
2019-10-31,CTAS,0.22361498420067027,0.0295635663329144,winner,4,-0.017950146825645663,0.02784121008257001,-0.0445510030722908,-0.00996227184813432,0.621083263351145,Industrials,neutral
2019-10-31,DG,0.10842910674607481,0.0143351354613589,winner,3,0.020496017664603627,0.04106330279095349,-0.0197560369971852,-0.0021421294444471974,1.0104212613245036,Unknown,neutral
2019-10-31,JKHY,0.20919420622098503,,confirm,3,0.04531318655345418,0.04531318655345418,0.0627365914281294,0.013124131444817784,0.12741039204063093,Financials,neutral
2019-10-31,MLM,0.028722825080580258,0.0082851739531315,scout,2,-0.02112379629211114,0.0,0.0189032900306593,0.0005429558929981038,-0.0353694455372387,Unknown,neutral
2019-10-31,NEE,0.09084872626210061,0.0169565339684361,confirm,2,0.012061701285495996,0.028127210625797705,-0.0156259937236006,-0.0014196016263686932,0.7565231662221737,Unknown,neutral
2019-10-31,BKNG,0.189096759912648,0.1121032784529255,scout,1,-0.06197316759566607,0.0,-0.0619731675956661,-0.01171892519386397,1.0023238604293387,Consumer Discretionary,neutral
2019-10-31,COST,0.086925570745779,0.0250739080359803,scout,1,0.005906605218099825,0.005906605218099825,0.0059066052180998,0.0005134350297533216,0.934957124583156,Consumer Staples,neutral
2019-10-31,VICI,0.025364285802351342,0.0073163945217738,scout,1,0.036990369567383,0.036990369567383,0.036990369567383,0.0009382343056417016,0.7981979212702063,Real Estate,neutral
2019-11-29,ADBE,0.20202532788563884,,confirm,6,0.02223662298026552,0.02223662298026552,0.0672013411075092,0.013576372971599205,0.6469996997995986,Information Technology,neutral
2019-11-29,CTAS,0.04584325364929327,0.0059547808259642,winner,5,0.03384529227920474,0.03384529227920474,0.0527421687783242,0.0024178726213185528,-0.2570558576048766,Industrials,neutral
2019-11-29,DG,0.022805892826744636,0.0029623572175442,winner,4,0.01192133282958241,0.04106330279095349,-0.0084024677084428,-0.00019162577803892908,-0.3855459435377212,Consumer Staples,neutral
2019-11-29,JKHY,0.33,,confirm,4,0.006422661176701316,0.04531318655345418,-0.0372046635180988,-0.012277538960972605,0.6314038664369452,Financials,neutral
2019-11-29,MLM,0.006279530016930511,0.0017796559266272,scout,3,0.028720071462407404,0.028720071462407404,0.0509194804876396,0.0003197504061686403,0.4277749951570453,Materials,neutral
2019-11-29,NEE,0.019188719858352937,0.0035188331180892,confirm,3,0.04783096744515136,0.04783096744515136,0.0353429698152021,0.000678186346746137,0.18617923928731964,Utilities,neutral
2019-11-29,BKNG,0.07822149648070595,0.022168434488921,scout,2,0.02212854909623574,0.02212854909623574,0.0896581140182672,0.007013191850146621,-0.6299368103636247,Consumer Discretionary,neutral
2019-11-29,COST,0.018761701999811885,0.00531717725173,scout,2,-0.013188262940276863,0.005906605218099825,-0.0189827445801856,-0.0003561485969519864,0.39797924325756506,Consumer Staples,neutral
2019-11-29,VICI,0.005643706029515621,0.0015994596500836,scout,2,0.0898105443603221,0.0898105443603221,0.050936032139792,0.00028746799170694553,0.4943055280108864,Real Estate,neutral
2019-11-29,UNH,0.028486662903900853,0.0080732886585578,scout,1,0.047307162970015915,0.047307162970015915,0.0473071629700159,0.0013476232044667442,1.1120758149112948,Health Care,neutral
2019-11-29,AAPL,0.1314437693542837,0.0372519412310914,scout,1,0.10839226715858707,0.10839226715858707,0.108392267158587,0.014247488164181211,1.0620925430733514,Information Technology,neutral
2019-11-29,NVDA,0.11129993899482174,0.0315430606321397,scout,1,0.10297534169921452,0.10297534169921452,0.1029753416992145,0.011461149249093498,0.8357566564674906,Information Technology,neutral
2019-12-31,ADBE,0.2409626294365794,,confirm,7,0.09475348082120605,0.09475348082120605,0.0709394050366951,0.017093745568308574,0.7758008964635681,Information Technology,neutral
2019-12-31,CTAS,0.07719365899925468,,winner,6,0.07426295043927666,0.07426295043927666,0.0390944935977486,0.003017847007533151,0.3718772089734735,Industrials,neutral
2019-12-31,JKHY,0.33,,confirm,5,0.038716915627199144,0.04531318655345418,0.0320881630514358,0.010589093806973815,-0.1937001697878141,Financials,neutral
2019-12-31,MLM,0.004846350028239012,,scout,4,-0.029705211030508605,0.028720071462407404,-0.0567941504338103,-0.00027524433255870725,0.26072621994871037,Materials,neutral
2019-12-31,BKNG,0.06036896880118251,,scout,3,-0.09129690481518915,0.02212854909623574,-0.1109698520912222,-0.006699135538766831,0.5611408728897114,Consumer Discretionary,neutral
