ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
PR,SELL,15698.0,20.239999771118164,20.18939977169037,317727.51640701294,794.3187910175324,316933.1976159954,15698.0,0.4355830920684547,0.0,0.0,317727.51640701294,-317727.51640701294,limit,day,target_rebalance,ready,418774.7104059124,r1k-C-20260513-S-PR-ae00117774da,ae00117774da89aa2ef5ac94e4a70603e85654f5b28a97efc81a5aabdf038679
ETR,SELL,2758.0,112.3499984741211,112.0691234779358,309861.295791626,774.653239479065,309086.6425521469,2758.0,0.4247990317601444,0.0,0.0,309861.295791626,-309861.295791626,limit,day,target_rebalance,ready,727861.3529580594,r1k-C-20260513-S-ETR-7f372785d6bd,7f372785d6bd8086ba23fb924c185787b7086ca3da3e1a7de96e9a81fd99786b
MRVL,BUY,2049.0,177.9499969482422,178.39487194061277,364619.54374694824,911.5488593673706,-365531.0926063156,0.0,0.0,0.5,364715.16249427793,0.0,364715.16249427793,limit,day,target_rebalance,ready,362330.2603517438,r1k-C-20260513-B-MRVL-a4551dd9736d,a4551dd9736d69dd0d18a0b5e519706840c3538b100e88f3af96892aaf4346dd
CIEN,BUY,315.0,577.9000244140625,579.3447744750977,182038.5076904297,455.09626922607424,-182493.60395965577,0.0,0.0,0.25,182357.58124713897,0.0,182357.58124713897,limit,day,target_rebalance,ready,179836.656392088,r1k-C-20260513-B-CIEN-529a2aa92d08,529a2aa92d085315e11b19429ae5d0681fc4ac8017d9df549dba6dac46fc8bca
MU,BUY,223.0,803.6300048828125,805.6390798950194,179209.4910888672,448.02372772216796,-179657.51481658936,0.0,0.0,0.25,182357.58124713897,0.0,182357.58124713897,limit,day,target_rebalance,cash_scaled,179.14157549865195,r1k-C-20260513-B-MU-6b09d8d66c8b,6b09d8d66c8b3c317cf537526c8af095ef28ce91380ef7fef829371a9448918f
