rank,ticker,target_weight,regime_state,row_type
1,GOOGL,0.13802948384567956,neutral,equity
2,VRT,0.10925574438584461,neutral,equity
3,GEV,0.10797010980822433,neutral,equity
4,FTI,0.09523857604852494,neutral,equity
5,TSM,0.0695060859117267,neutral,equity
6,WDC,0.06867878432287565,neutral,equity
7,FIX,0.05999999999999997,neutral,equity
8,PR,0.05999999999999997,neutral,equity
9,MLI,0.05999999999999997,neutral,equity
10,LRCX,0.05889613451644591,neutral,equity
11,GLW,0.053989940910656106,neutral,equity
12,TER,0.04541058050211596,neutral,equity
13,AMKR,0.03807456132791018,neutral,equity
14,ON,0.03494999841999612,neutral,equity
15,CASH,0.0,neutral,cash
