rank,ticker,target_weight,regime_state,row_type
1,GOOGL,0.11443030626082598,neutral,equity
2,NVDA,0.061446844348695726,neutral,equity
3,GLW,0.05,neutral,equity
4,VRT,0.040333820063505756,neutral,equity
5,FTI,0.03952625475637356,neutral,equity
6,GEV,0.0389644321247935,neutral,equity
7,FIX,0.03395140478680838,neutral,equity
8,AMAT,0.030954231667339543,neutral,equity
9,LRCX,0.030954231667339543,neutral,equity
10,CIEN,0.03,neutral,equity
11,ASML,0.028117757823390866,neutral,equity
12,TSM,0.028044545100680593,neutral,equity
13,FANG,0.027631479083621343,neutral,equity
14,DTM,0.026000000000000006,neutral,equity
15,MLI,0.026000000000000006,neutral,equity
16,PR,0.026000000000000006,neutral,equity
17,UMC,0.026000000000000006,neutral,equity
18,TER,0.024060973165333982,neutral,equity
19,ON,0.020156462217054676,neutral,equity
20,WDC,0.020000000000000004,neutral,equity
21,CASH,0.27742725693423653,neutral,cash
