portfolio,rebalance_date,implied_return,target_weight_sum,names,implied_equity,target_turnover,name_jaccard,broker_month_end_equity,broker_month_end_return,broker_trade_count,broker_fees_usd,broker_gross_traded_usd,return_gap
main,2019-04-30,-0.010908145220544199,0.9999999999999994,18.0,98909.18547794559,0.4999999999999997,,,,,,,
main,2019-05-31,0.0463880704398792,0.999999999999999,19.0,103497.3917410476,0.6622209780255937,0.23333333333333334,98573.19830663918,0.0,18.0,247.6375068831444,99055.00275325775,0.0463880704398792
main,2019-06-30,0.007745199697243514,0.9999999999999989,26.0,104298.99970822585,0.5303649492391096,0.6666666666666666,102424.64800189972,0.03907197657602168,28.0,251.09279283761978,100437.11713504791,-0.03132677687877817
main,2019-07-31,0.02280168128293181,0.9999999999999991,18.0,106677.19225770142,0.3102239676348839,0.4666666666666667,103634.32033580782,0.011810363594177531,26.0,188.85472946166993,75541.89178466797,0.01099131768875428
main,2019-08-31,0.005747470663584901,0.9999999999999993,18.0,107290.31629067619,0.4845382768221734,0.2857142857142857,106538.05237183571,0.028019019438916493,30.0,157.48131808280945,62992.52723312378,-0.022271548775331593
main,2019-09-30,0.016386308466045878,0.9999999999999991,18.0,109048.40850883482,0.446530006300775,0.44,105113.7455447531,-0.013368996291686974,28.0,256.6373381757736,102654.93527030945,0.029755304757732852
main,2019-10-31,0.005226193756994462,0.9999999999999988,31.0,109618.31662059388,0.5495742731027209,0.5806451612903226,106762.43344073772,0.015684798286278223,25.0,227.97992399215698,91191.9695968628,-0.01045860452928376
main,2019-11-30,0.02201813839320649,0.999999999999998,38.0,112031.90788637644,0.5582291752762694,0.725,107201.40395203112,0.004111657042147332,30.0,287.6196204662323,115047.84818649292,0.01790648135105916
main,2019-12-31,0.0492343139541219,0.9999999999999992,18.0,117547.72201213357,0.4003790772714793,0.3023255813953488,108841.80337847708,0.015302033051544539,39.0,288.05630017757414,115222.52007102966,0.03393228090257736
main,2020-01-31,-0.013458198911169459,0.9999999999999993,18.0,115965.74138773943,0.3763839628904894,0.44,113592.89298851012,0.043651331221626455,42.0,213.0492058467865,85219.6823387146,-0.05710953013279591
main,2020-02-29,-0.0561387017109067,0.9999999999999994,19.0,109455.57522328896,0.5584510827345279,0.37037037037037035,107998.71327680824,-0.04924762073158695,25.0,199.66648614645004,79866.59445858002,-0.006891080979319751
main,2020-03-31,0.1192906550352518,0.9999999999999993,19.0,122512.60248893539,0.39986607373142863,0.4074074074074074,100293.01191960572,-0.07134993671130385,26.0,233.0024398136139,93200.97592544556,0.19064059174655565
main,2020-04-30,0.1285475497298999,0.9999999999999991,28.0,138261.29734992128,0.6325541984844533,0.6206896551724138,109853.97411442516,0.09533029282721572,26.0,152.35470734119417,60941.88293647766,0.03321725690268418
main,2020-05-31,0.0446622511833167,0.9999999999999993,19.0,144436.3581410947,0.3602490513577779,0.42424242424242425,122585.92977242346,0.11589890817000903,28.0,238.19690366625787,95278.76146650314,-0.07123665698669232
main,2020-06-30,0.0885944959955551,0.9999999999999993,19.0,157232.62449403846,0.4499707555726017,0.35714285714285715,127632.09486484884,0.041164309001803234,32.0,217.4524059724808,86980.96238899231,0.04743018699375187
main,2020-07-31,0.10233277838844508,0.9999999999999992,18.0,173322.67581182052,0.4267425859143482,0.37037037037037035,136996.50669400571,0.07337035280250603,26.0,280.9424799251557,112376.99197006226,0.028962425585939047
main,2020-08-31,-0.022526367358659344,0.9999999999999996,17.0,169418.34554489763,0.537594606748322,0.25,150759.0951397264,0.10045941154149785,25.0,283.00386613845825,113201.5464553833,-0.12298577890015719
main,2020-09-30,-0.004759653537165745,0.9999999999999994,18.0,168611.9729172641,0.4979665606829568,0.2962962962962963,146846.23111154675,-0.02595441438908319,28.0,417.97285577058796,167189.14230823517,0.021194760851917446
main,2020-10-31,0.08137539384123091,0.9999999999999993,18.0,182332.83861975343,0.6598091984424185,0.2413793103448276,144907.5846218479,-0.01320188114481613,27.0,358.52839048624037,143411.35619449615,0.09457727498604704
main,2020-11-30,0.05646987489861239,0.9999999999999988,26.0,192629.15120651977,0.6529828131585815,0.5172413793103449,154561.9316737211,0.06662416654771564,28.0,372.96059010982515,149184.23604393005,-0.010154291649103246
main,2020-12-31,-0.00762884154691705,0.9999999999999993,17.0,191159.61393464814,0.48403238658479836,0.34375,164696.5494381893,0.06556994762372859,27.0,388.19322491168975,155277.2899646759,-0.07319878917064564
main,2021-01-31,0.0424142745994706,0.9999999999999992,18.0,199267.5102924011,0.66285054620279,0.2962962962962963,160905.00696806074,-0.023021383769497472,31.0,381.70499244451526,152681.9969778061,0.06543565836896807
main,2021-02-28,-0.00836068584186805,0.999999999999999,18.0,197601.49724035515,0.5015720229506258,0.2413793103448276,166176.9775615132,0.03276449063203435,24.0,419.3907995223999,167756.31980895996,-0.0411251764739024
main,2021-03-31,0.04580120063908037,0.9999999999999988,26.0,206651.88306204337,0.6805401992362752,0.41935483870967744,163372.14618027332,-0.016878579827350748,28.0,406.76622334957125,162706.4893398285,0.06267978046643112
main,2021-04-30,0.0041715495193398915,0.9999999999999987,30.0,207513.94162550155,0.4443469961836604,0.696969696969697,171964.22888759256,0.052592090562599836,30.0,436.43563565254215,174574.25426101685,-0.04842054104325994
main,2021-05-31,0.0524100099464637,0.9999999999999994,17.0,218389.749370124,0.5261957063178926,0.2702702702702703,171584.38259798885,-0.0022088680422717166,33.0,367.23667809247974,146894.67123699188,0.054618877988735416
main,2021-06-30,0.061592871877310974,0.9999999999999987,25.0,231841.00122239607,0.5678276948862045,0.5555555555555556,180820.6235091293,0.05382914675154549,37.0,442.58047328948976,177032.1893157959,0.007763725125765487
main,2021-07-31,0.05778095865932542,0.9999999999999988,29.0,245236.99652956394,0.5457064897525703,0.6875,190026.53206818464,0.05091182842089115,27.0,498.8567035484314,199542.68141937256,0.006869130238434273
main,2021-08-31,-0.050932066274869424,0.9999999999999982,36.0,232746.56956927027,0.5286674919244556,0.7567567567567568,202153.13288942692,0.0638153035224105,31.0,505.0034554147721,202001.3821659088,-0.11474736979727992
main,2021-09-30,0.0912801625039564,0.9999999999999992,18.0,253991.7142617916,0.6299641101861229,0.2558139534883721,189668.7832680261,-0.06175689410774288,32.0,525.3744474506378,210149.77898025513,0.15303705661169928
main,2021-10-31,0.006593124246957804,0.9999999999999989,25.0,255666.31319161743,0.5783654955792727,0.6538461538461539,206586.722766794,0.08919727963278334,41.0,459.8507100486755,183940.28401947021,-0.08260415538582554
main,2021-11-30,0.034476568848072174,0.9999999999999984,28.0,264480.810440501,0.5706735601336191,0.6060606060606061,203731.39040164356,-0.01382147084241081,25.0,457.69991313934327,183079.9652557373,0.048298039690482984
main,2021-12-31,-0.0466122855261663,0.9999999999999993,17.0,252152.75538805654,0.43611334288269,0.40625,208456.79227177025,0.023194274877380794,33.0,538.0729337978363,215229.17351913452,-0.0698065604035471
main,2022-01-31,-0.005750614953684055,0.9999999999999987,22.0,250702.72198230933,0.4902162969134108,0.5,189911.3959133947,-0.08896518149524946,32.0,429.65767276763916,171863.06910705566,0.08321456654156541
main,2022-02-28,0.039178300237038007,0.9999999999999988,30.0,260524.82849437496,0.4858332889102063,0.625,188444.1725716341,-0.0077258309576625495,25.0,454.45971566200257,181783.88626480103,0.046904131194700556
main,2022-03-31,-0.06560458746069621,0.9999999999999994,18.0,243433.20459773287,0.5142949713298341,0.2631578947368421,192945.48145497683,0.023886697168264304,32.0,428.39122423172,171356.489692688,-0.08949128462896051
main,2022-04-30,0.010981055273496805,0.999999999999999,24.0,246106.358072825,0.7308913865869915,0.3125,173228.06924621464,-0.10219162459818054,37.0,492.27092191219333,196908.36876487732,0.11317267987167734
main,2022-05-31,-0.05715530117611835,0.9999999999999983,30.0,232040.0750558151,0.5886957172762577,0.5428571428571428,173943.84670133234,0.004131994648629123,31.0,586.3913576340675,234556.543053627,-0.06128729582474747
main,2022-06-30,0.05369377876401393,0.9999999999999989,26.0,244499.18351024724,0.5502937413164807,0.47368421052631576,155898.8315632856,-0.10374046268524029,34.0,458.98610915422444,183594.44366168976,0.15743424144925422
main,2022-07-31,-0.0219387785086685,0.9999999999999992,18.0,239135.1700776656,0.49194113152664665,0.3333333333333333,164482.2922797883,0.055057889981800834,38.0,424.1155268979073,169646.2107591629,-0.07699666849046934
main,2022-08-31,-0.041426079304358494,0.9999999999999988,27.0,229228.73755756696,0.5867818683963154,0.5,160541.01967359666,-0.023961683361558683,33.0,393.8460715389252,157538.42861557007,-0.01746439594279981
main,2022-09-30,0.0884120972585685,0.9999999999999993,18.0,249495.33099696547,0.47181911961992373,0.40625,150029.16130416992,-0.06547771024999649,30.0,452.8947578239441,181157.90312957764,0.15388980750856499
main,2022-10-31,0.01783400244747519,0.999999999999999,28.0,253944.83134059896,0.5683593859535117,0.5862068965517241,163193.42230035906,0.08774468164558913,30.0,359.98964086532595,143995.85634613037,-0.06991067919811395
main,2022-11-30,-0.032319386990622666,0.9999999999999982,35.0,245737.4900622338,0.5702573671834855,0.7027027027027027,165213.5385729802,0.01237866235137286,28.0,443.8785813522339,177551.43254089355,-0.044698049341995526
main,2022-12-31,0.0360939469600068,0.9999999999999994,18.0,254607.12599462524,0.41493575625030193,0.23255813953488372,157894.40522750025,-0.04430105068082457,37.0,454.3117130947113,181724.68523788452,0.08039499764083137
main,2023-01-31,-0.019978913889367955,0.9999999999999993,18.0,249520.35214875915,0.4478798042594347,0.38461538461538464,163646.29617282993,0.03642871916229162,43.0,323.8572655773163,129542.90623092651,-0.05640763305165958
main,2023-02-28,0.03634649652552855,0.9999999999999984,29.0,258589.54276118267,0.5441959615946174,0.5666666666666667,157049.64669990662,-0.04031041109513689,26.0,361.2311112594605,144492.44450378418,0.07665690762066543
main,2023-03-31,0.0171912726138418,0.9999999999999993,18.0,263035.0260858789,0.4805045021541554,0.3055555555555556,163058.10223417403,0.03825831933101065,30.0,424.1534134864807,169661.36539459229,-0.021067046717168848
main,2023-04-30,0.0546739917183569,0.9999999999999996,18.0,277416.20092373603,0.528264922046162,0.2413793103448276,164888.47040637134,0.011225251288455862,36.0,380.55820414543155,152223.2816581726,0.04344874042990104
main,2023-05-31,0.0843489112467837,0.999999999999999,23.0,300815.9554338722,0.5474017633015347,0.41379310344827586,172945.1928255665,0.04886164811486937,29.0,428.0571218204498,171222.84872817993,0.03548726313191433
main,2023-06-30,0.03460345485920734,0.9999999999999993,18.0,311225.2267686575,0.523378733464118,0.3225806451612903,186977.0797351944,0.08113487678018627,29.0,472.178985452652,188871.5941810608,-0.04653142192097893
main,2023-07-31,0.02135144982880903,0.9999999999999993,18.0,317870.3365834682,0.42204061866946774,0.44,192743.0627360833,0.03083791344401643,30.0,475.8361824607849,190334.47298431396,-0.0094864636152074
