ticker,Name,sector,industry_group,source_universe,selected_main_current,selected_concentrated_current,current_main_weight,current_concentrated_weight,decision_bucket,selection_pressure_score,score,concentrated_score,portfolio_monster_early_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,relative_strength_composite,oneil_leadership_score,portfolio_candidate_minimum_pass,portfolio_candidate_gate_label,portfolio_risk_entry_block_score,portfolio_stale_mega_leader_score,portfolio_stale_leader_reason,portfolio_defensive_rotation_action,entry_quality_score,concentrated_entry_quality_gate_pass,selection_confirmation_score,trend_template_full,breakout_setup_quality_score,price_above_ma50,price_above_ma200,market_cap_live,dollar_vol_20d,sales_growth_yoy,eps_growth_yoy,revenues_ttm,months_held_main,first_held_main,last_held_main,months_held_concentrated,first_held_concentrated,last_held_concentrated
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.04,0.0,selected_main,0.6605033003300329,3.140707590383497,,0.5823883320873252,0.6778428654508305,0.6275021190434312,,0.8900228303249059,True,early_relaxed,0.325,0.0,,promote_monster_early,0.0,,1.0,1.0,0.5718814568285501,1.0,1.0,,296382456.2846565,0.6023407402945247,0.0,5000734000.0,4,2025-06-30,2026-02-27,4,2025-06-30,2026-02-27
OKE,ONEOK INC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.0561550728003203,0.0,selected_main,0.6397524752475248,2.3282932412001576,,0.5479185863145452,0.66231159347506,0.500740113027218,,0.6032376961091029,False,rejected,0.0135416666666666,0.0,,neutral,0.3947555852174538,,1.0,0.0,0.3932066586727293,1.0,1.0,,481146874.2302704,0.5498663471287677,0.0,33629000000.0,1,2022-03-31,2022-03-31,0,,
SU,Suncor Energy,Energy,Oil Gas & Consumable Fuels,adr_whitelist,True,False,0.0561101357551186,0.0,selected_main,0.6372359735973597,1.998567467150888,,0.6110014849571681,0.6778428654508305,0.6275021190434312,,0.5340136981949437,True,adr_global_alpha_fallback,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.6140479362401294,1.0,1.0,,367127802.8251457,,,52377000000.0,0,,,0,,
VRT,VERTIV HOLDINGS CLASS A,Industrials,Capital Goods - Machinery,current_constituents_proxy+strategic_global_hardware,True,False,0.0609664208489582,0.0,selected_main,0.6303960396039604,3.313720780572716,,0.4713173634876412,0.4722948194277206,0.3971273628575926,,0.2109440370364748,True,future_relaxed,0.3333333333333333,0.0,,neutral,0.0,,1.0,1.0,-0.1010095645186889,1.0,1.0,,3012276945.3608704,0.2768541401432887,0.0,10229900000.0,11,2024-02-29,2026-02-27,2,2024-04-30,2024-05-31
LRCX,LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,True,False,0.0609664208489582,0.0,selected_main_stale_review,0.6196699669966997,4.954413079868159,,0.38796231943604,0.4790277279791923,0.3284289853287987,,0.2285062678575774,True,core_strict,0.346875,0.6781906302710505,broad_relative_breakdown,rotate_out_stale_core,0.0,,1.0,0.0,-0.2313588793991088,0.0,1.0,,2423913649.033966,0.2368408976459919,,18435591000.0,40,2019-08-30,2026-02-27,39,2019-08-30,2026-02-27
FTI,TECHNIPFMC PLC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.056898740829369,0.0,selected_main,0.6055115511551155,1.2533319946636725,,0.579465735464165,0.6778428654508305,0.6275021190434312,,1.335034245487359,True,future_relaxed,0.1083333333333333,0.0,,neutral,0.0,,1.0,1.0,0.4213447245096071,1.0,1.0,,300120034.188385,0.0935012605550846,0.1936415727054996,9932600000.0,1,2026-02-27,2026-02-27,0,,
GOOG,ALPHABET INC CLASS C,Communication,Internet Content & Information,current_constituents_proxy,True,False,0.1789140872012445,0.0,selected_main_stale_review,0.5705280528052805,5.897731648655224,,0.3061047304638113,0.3779729838542984,0.2884050271396834,,0.0025984019685232,True,core_strict,0.1875,0.6890067675498998,broad_relative_breakdown,rotate_out_stale_core,0.8533172087949745,,1.0,0.0,-0.0052341089068693,0.0,1.0,,6119035801.204834,0.1386624332290156,0.3843695538221552,350018000000.0,31,2020-11-30,2026-02-27,13,2020-08-31,2021-12-31
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Software - Infrastructure,current_constituents_proxy,True,False,0.04,0.0,selected_main,0.5692904290429043,1.7782253213792965,,0.5115539076975161,0.612447485424213,0.6275021190434312,,-0.3938331863260867,True,early_relaxed,0.1083333333333333,0.0,,neutral,0.0,,1.0,1.0,0.3977826847157097,1.0,1.0,,509139016.1545181,0.0,0.0,4208175000.0,4,2025-11-28,2026-02-27,0,,
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Software - Infrastructure,current_constituents_proxy,True,False,0.0609664208489582,0.0,selected_main_stale_review,0.42725247524752474,2.943038076490879,,0.1941723003153998,-0.0629832415795473,0.1107217930829355,,0.0,True,core_strict,0.30625,0.75,broad_relative_breakdown,rotate_out_stale_core,0.5,,1.0,0.0,-0.497941849369159,0.0,0.0,,6967341896.997376,0.2878613688375613,,2865507000.0,11,2024-11-29,2025-10-31,5,2024-11-29,2025-03-31
PWR,QUANTA SERVICES INC,Industrials,Construction & Engineering,current_constituents_proxy,True,False,0.0565631406386838,0.0,selected_main,0.40943894389438945,0.6817417742425688,,0.4185270051101147,0.0005740252084999,-0.003353219500298,,-0.2939206731765905,False,rejected,0.1333333333333333,0.0,,neutral,0.2337068375723301,,1.0,1.0,0.3587384629549611,1.0,1.0,,686894391.0913086,0.0,0.0,28479697000.0,7,2021-04-30,2023-05-31,0,,
