as_of_date,portfolio_kind,row_type,ticker,current_weight,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,cash_policy_flag,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count
2026-06-12,concentrated,equity,PR,0.3041218531262784,0.0,0.0,-0.3041218531262784,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-11499.0,-224345.49263191223,1,ready,,0.03,none,0.0
2026-06-12,concentrated,equity,ETR,0.2762375801910482,0.0,0.0,-0.2762375801910482,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1834.0,-203775.7411193848,1,ready,,0.03,none,0.0
2026-06-12,concentrated,equity,AKAM,0.2396070159326919,0.0,0.0,-0.2396070159326919,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1324.0,-176754.0,1,ready,,0.03,none,0.0
2026-06-12,concentrated,equity,BKNG,0.1799915664895708,0.0,0.0,-0.1799915664895708,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-805.0,-132776.70196533203,1,ready,,0.03,none,0.0
2026-06-12,concentrated,cash,CASH,4.198426041056088e-05,0.0,0.0,,DEPLOY_CASH_REVIEW,DEPLOY_CASH_REVIEW,Combined cash is above target; review deploy candidates before acting.,0.0,0.0,0,,cash_above_target,0.03,none,0.0
2026-06-12,main,equity,AMAT,0.1324476881735719,0.0336828109423192,0.17981175628514334,-0.09876487723125268,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-61.0,-34602.25,1,ready,,0.03,none,0.0
2026-06-12,main,equity,GOOG,0.0836270859079496,0.0,0.0,-0.0836270859079496,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-83.0,-29727.28030395508,1,ready,,0.03,none,0.0
2026-06-12,main,equity,PR,0.0663003764157059,0.0,0.0,-0.0663003764157059,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1208.0,-23568.080276489258,1,ready,,0.03,none,0.0
2026-06-12,main,equity,COST,0.049742834503539,0.0,0.0,-0.049742834503539,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-18.0,-17682.299560546875,1,ready,,0.03,none,0.0
2026-06-12,main,equity,ETR,0.0418841526419451,0.0,0.0,-0.0418841526419451,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-134.0,-14888.74008178711,1,ready,,0.03,none,0.0
2026-06-12,main,equity,SLB,0.0418812269708101,0.0,0.0,-0.0418812269708101,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-265.0,-14887.700080871582,1,ready,,0.03,none,0.0
2026-06-12,main,equity,VZ,0.0410081121185527,0.0,0.0,-0.0410081121185527,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-303.0,-14577.330184936523,1,ready,,0.03,none,0.0
2026-06-12,main,equity,VRT,0.0400447783166383,0.0,0.0,-0.0400447783166383,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-47.0,-14234.889770507812,1,ready,,0.03,none,0.0
2026-06-12,main,equity,WDC,0.0316720496300469,0.0,0.0,-0.0316720496300469,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-20.0,-11258.599853515623,1,ready,,0.03,none,0.0
2026-06-12,main,equity,LNG,0.0312227347088552,0.0,0.0,-0.0312227347088552,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-46.0,-11098.879943847656,1,ready,,0.03,none,0.0
2026-06-12,main,equity,FTI,0.0306679272314275,0.0647977061290154,0.021071003635762052,0.034129778897587906,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,171.0,12105.090156555176,1,ready,,0.03,none,0.0
2026-06-12,main,equity,AKAM,0.0292932564518397,0.0,0.0,-0.0292932564518397,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-78.0,-10413.0,1,ready,,0.03,none,0.0
2026-06-12,main,equity,CIEN,0.0213282931126174,0.0,0.0,-0.0213282931126174,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-17.0,-7581.660186767578,1,ready,,0.03,none,0.0
2026-06-12,main,equity,BKNG,0.0208799904523905,0.0,0.0,-0.0208799904523905,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-45.0,-7422.300109863281,1,ready,,0.03,none,0.0
2026-06-12,main,equity,DUK,0.0207419494264997,0.0,0.0,-0.0207419494264997,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-59.0,-7373.230072021484,1,ready,,0.03,none,0.0
2026-06-12,main,equity,SU,0.0204481722100041,0.0,0.0,-0.0204481722100041,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-118.0,-7268.799819946289,1,ready,,0.03,none,0.0
2026-06-12,main,equity,CNQ,0.0198799175268817,0.0,0.0,-0.0198799175268817,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-156.0,-7066.799880981445,1,ready,,0.03,none,0.0
2026-06-12,main,cash,CASH,0.2769294542007238,0.0,0.0,,DEPLOY_CASH_REVIEW,DEPLOY_CASH_REVIEW,Combined cash is above target; review deploy candidates before acting.,0.0,0.0,0,,cash_above_target,0.03,none,0.0
