ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1924330318134387,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1101648111187043,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1060363182468542,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0928146322136947,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.084983192898334,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.062552717922308,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0564344161624174,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0530874514664355,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0395277637739518,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0317887935437548,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0254280655653834,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.0133819593336004,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.0113668459411224,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
