portfolio_kind,weekly_signal_date,ticker,leader_rank,target_weight_after,leader_overlay_weight,weekly_leader_score,weekly_ret_4w,weekly_rs_4w,weekly_dollar_vol_20d,regime_state
main,2019-05-03,QCOM,1,0.18187816057313994,0.18187816057313994,4.283689588406814,0.5397480452117784,0.5208267276048277,1954613254.521217,bull
main,2019-05-03,SHOP,2,0.14317468521710672,0.1151746852171067,3.882595970976858,0.34263913799678836,0.32371782038983765,416798104.45013046,bull
main,2019-05-03,MELI,3,0.04108539008550547,0.002947154209753337,2.569746697457479,0.1513174811858844,0.1323961635789337,262553214.91012573,bull
main,2019-05-10,QCOM,1,0.26312304900311106,0.26312304900311106,4.393519955838065,0.507286740719991,0.5143861282931731,1954613254.521217,bull
main,2019-05-10,SHOP,2,0.060717506501950645,0.032717506501950634,3.106281382297872,0.20481309217324717,0.21191247974642924,416798104.45013046,bull
main,2019-05-10,MELI,3,0.04229768037069047,0.004159444494938341,2.655128956815753,0.10568468842242829,0.11278407599561036,262553214.91012573,bull
main,2019-05-17,SHOP,1,0.19851095560082893,0.17051095560082893,3.080573585720877,0.2391264841210552,0.2535395654378635,416798104.45013046,bull
main,2019-05-17,ZS,2,0.10459141035632351,0.10459141035632351,2.9387333875644215,0.2560178780565392,0.2704309593733475,136932702.5641632,bull
main,2019-05-17,MELI,3,0.06303586991859966,0.02489763404284753,2.676333555534952,0.16782521813865592,0.18223829945546421,262553214.91012573,bull
main,2019-05-24,SHOP,1,0.19462731742855333,0.16662731742855333,3.1994059982351475,0.24100226242363698,0.2772317410740671,416798104.45013046,bull
main,2019-05-24,MELI,2,0.14458930216612964,0.10645106629037751,3.0745695501995565,0.21047148449829556,0.2467009631487257,262553214.91012573,bull
main,2019-05-24,SE,3,0.02692161628106916,0.02692161628106916,2.82744586915885,0.17377693411502526,0.2100064127654554,98959105.69760324,bull
main,2019-06-07,SHOP,1,0.12383245573276544,0.06019539153885085,3.1992523241646222,0.1785728023854718,0.18013483607714154,498288152.3077965,bear
main,2019-06-07,HEI,2,0.044517079374775954,0.012785707197142398,2.804541912285663,0.2238163344916957,0.22537836818336543,65979087.15404511,bear
main,2019-06-07,MKTX,3,0.007018901264006758,0.007018901264006758,2.7171242444417167,0.19099499696240008,0.19255703065406982,112550638.69674684,bear
main,2019-06-14,HEI,1,0.09861385868885052,0.06688248651121696,3.052416586844652,0.22328868840120109,0.21132365054616598,65979087.15404511,bear
main,2019-06-14,SHOP,2,0.07675457768269763,0.01311751348878304,2.737908127623391,0.1155758410971488,0.10361080324211369,498288152.3077965,bear
main,2019-06-21,SHOP,1,0.1355543326596974,0.07191726846578281,3.554064368683965,0.18488317774457008,0.14014907590319847,498288152.3077965,bear
main,2019-06-21,HEI,2,0.039814103711850735,0.008082731534217184,3.0583413935654717,0.23206219053749,0.1873280886961184,65979087.15404511,bear
main,2019-07-05,SE,1,0.2,0.2,2.863961576162073,0.1575364227846856,0.11490935845526629,114521502.2890091,neutral
main,2019-07-12,PAGS,1,0.11871371310377053,0.11871371310377053,3.091579644723873,0.2242542637969791,0.17982289210681057,70564993.87488365,neutral
main,2019-07-12,SE,2,0.06736271411369195,0.06736271411369195,2.9114809403387247,0.17389850613089108,0.12946713444072255,114521502.2890091,neutral
main,2019-07-12,SRPT,3,0.013923572782537525,0.013923572782537525,2.6115926742284317,0.3055114702845707,0.2610800985944022,180464945.94169617,neutral
main,2019-07-19,PAGS,1,0.18681889699536294,0.18681889699536294,3.77028617124605,0.21415270796329033,0.20337038556417908,70564993.87488365,neutral
main,2019-07-19,MKTX,2,0.03431952063645681,0.007806345534831495,2.5976659604524794,0.10192715705338418,0.09114483465427292,238450140.77514648,neutral
main,2019-07-19,RGLD,3,0.005374757469805554,0.005374757469805554,2.546376140391158,0.1915265341777681,0.18074421177865685,41034462.49485016,neutral
main,2019-07-26,PAGS,1,0.12572549384762338,0.12572549384762338,3.3047338973731364,0.23992807969861807,0.2091772021245195,70564993.87488365,neutral
main,2019-07-26,MANH,2,0.059266965607543756,0.059266965607543756,3.077948070182785,0.2756382533627988,0.24488737578870023,32703889.866027832,neutral
main,2019-07-26,SHOP,3,0.06202813952540934,0.015007540544832882,2.831136624995247,0.12123938074174534,0.09048850316764678,591676797.0399857,neutral
main,2019-08-02,PAGS,1,0.2,0.2,2.8223393427077625,0.1266354201786175,0.14620288466874687,109687529.76016998,neutral
main,2019-08-09,PODD,1,0.1179259819728444,0.1179259819728444,2.850367018687211,0.266611206308472,0.29664635576824505,45622145.08953095,neutral
main,2019-08-09,SHOP,2,0.13122230904242432,0.0820740180271556,2.80069795447249,0.19331004344352154,0.22334519290329458,566620882.9332352,neutral
