rebalance_date,era_bucket,feature,weight,direction,available
2019-05-31,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-05-31,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-05-31,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-05-31,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-05-31,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-06-28,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-06-28,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-06-28,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-06-28,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-06-28,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-07-31,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-07-31,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-07-31,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-07-31,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-07-31,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-08-30,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-08-30,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-08-30,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-08-30,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-08-30,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-09-30,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-09-30,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-09-30,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-09-30,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-09-30,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-10-31,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-10-31,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-10-31,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-10-31,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-10-31,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-11-29,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-11-29,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
2019-11-29,2019_2021_pre_ai_bull,breakout_setup_quality_score,0.12,high_is_better,True
2019-11-29,2019_2021_pre_ai_bull,selection_confirmation_score,0.08,high_is_better,True
2019-11-29,2019_2021_pre_ai_bull,oneil_leadership_score,0.08,high_is_better,True
2019-12-31,2019_2021_pre_ai_bull,score,0.18,high_is_better,True
2019-12-31,2019_2021_pre_ai_bull,mom_12m,0.14,high_is_better,True
