rebalance_date,net_return,equity,drawdown
2022-03-31,-0.08186753547000915,3.743246449765645,-0.11529557606504148
2020-02-28,-0.08056868421794552,1.0225665763739324,-0.11129329697267543
2024-03-28,-0.06261702494166252,9.768789970597748,-0.06261702494166255
2022-05-31,-0.06131282721969318,3.651260153506307,-0.13703624538354786
2023-08-31,-0.05424277077371296,5.927570840143838,-0.05424277077371309
2022-11-30,-0.04467545059307128,4.352983367269097,-0.04467545059307143
2019-04-30,-0.03655397731287185,0.9634460226871282,-0.0365539773128718
2020-01-31,-0.03341697441379384,1.1121728821082766,-0.03341697441379399
2023-01-31,-0.030496593834778374,4.549593185317408,-0.030496593834778207
2022-01-31,-0.022074568656541373,4.061100205638704,-0.040171849172081164
