hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,cagr,sharpe,max_dd,calmar,ending_equity,months,target_cagr,target_max_dd,target_pass,rank_score
-0.08,3,score_power,1,25.0,0.503782536325996,1.8248097434839676,-0.17821298596873147,2.8268564918966548,16.808534084446524,83,0.5,-0.18,True,1006.6844221207751
-0.1,3,score_power,1,25.0,0.503782536325996,1.8248097434839676,-0.17821298596873147,2.8268564918966548,16.808534084446524,83,0.5,-0.18,True,1006.6844221207751
-0.12,3,score_power,1,25.0,0.503782536325996,1.8248097434839676,-0.17821298596873147,2.8268564918966548,16.808534084446524,83,0.5,-0.18,True,1006.6844221207751
-0.08,3,winner_take_all,1,25.0,0.49901873509645367,1.786467763050791,-0.18443656277547238,2.7056388797699746,16.443673204787775,83,0.5,-0.18,False,6.050435783337983
-0.1,3,winner_take_all,1,25.0,0.49901873509645367,1.786467763050791,-0.18443656277547238,2.7056388797699746,16.443673204787775,83,0.5,-0.18,False,6.050435783337983
-0.12,3,winner_take_all,1,25.0,0.49901873509645367,1.786467763050791,-0.18443656277547238,2.7056388797699746,16.443673204787775,83,0.5,-0.18,False,6.050435783337983
-0.08,3,conviction_curve,1,25.0,0.4835934567958575,1.7676837077266074,-0.19355941391253795,2.498423853537678,15.308340810196476,83,0.5,-0.18,False,3.4134631501046018
-0.1,3,conviction_curve,1,25.0,0.4835934567958575,1.7676837077266074,-0.19355941391253795,2.498423853537678,15.308340810196476,83,0.5,-0.18,False,3.4134631501046018
-0.12,3,conviction_curve,1,25.0,0.4835934567958575,1.7676837077266074,-0.19355941391253795,2.498423853537678,15.308340810196476,83,0.5,-0.18,False,3.4134631501046018
-0.08,4,conviction_curve,1,25.0,0.46861146472750437,1.8282498675086456,-0.1456691426999165,3.2169576620139813,14.270509859303374,83,0.5,-0.18,False,3.22984184483421
-0.1,4,conviction_curve,1,25.0,0.46861146472750437,1.8282498675086456,-0.1456691426999165,3.2169576620139813,14.270509859303374,83,0.5,-0.18,False,3.22984184483421
-0.12,4,conviction_curve,1,25.0,0.46861146472750437,1.8282498675086456,-0.1456691426999165,3.2169576620139813,14.270509859303374,83,0.5,-0.18,False,3.22984184483421
-0.08,4,score_power,1,25.0,0.46295539573516487,1.8441950962019393,-0.1563380237485299,2.9612463087024166,13.89467325138537,83,0.5,-0.18,False,2.6129506033215444
-0.1,4,score_power,1,25.0,0.46295539573516487,1.8441950962019393,-0.1563380237485299,2.9612463087024166,13.89467325138537,83,0.5,-0.18,False,2.6129506033215444
-0.12,4,score_power,1,25.0,0.46295539573516487,1.8441950962019393,-0.1563380237485299,2.9612463087024166,13.89467325138537,83,0.5,-0.18,False,2.6129506033215444
-0.08,3,score_power,1,50.0,0.4770597336284852,1.7495317238617987,-0.19716786794336416,2.4195612530816586,14.848066624154413,83,0.5,-0.18,False,2.312147760715389
-0.1,3,score_power,1,50.0,0.4770597336284852,1.7495317238617987,-0.19716786794336416,2.4195612530816586,14.848066624154413,83,0.5,-0.18,False,2.312147760715389
-0.12,3,score_power,1,50.0,0.4770597336284852,1.7495317238617987,-0.19716786794336416,2.4195612530816586,14.848066624154413,83,0.5,-0.18,False,2.312147760715389
-0.08,5,score_power,1,25.0,0.4550576531243695,1.923167975818774,-0.1433202949190422,3.175109661764368,13.384065722331808,83,0.5,-0.18,False,1.8361895245803797
-0.1,5,score_power,1,25.0,0.4550576531243695,1.923167975818774,-0.1433202949190422,3.175109661764368,13.384065722331808,83,0.5,-0.18,False,1.8361895245803797
-0.12,5,score_power,1,25.0,0.4550576531243695,1.923167975818774,-0.1433202949190422,3.175109661764368,13.384065722331808,83,0.5,-0.18,False,1.8361895245803797
-0.08,5,conviction_curve,1,25.0,0.45455863767005167,1.873048552565659,-0.13842506002409072,3.283788626069173,13.352349744599822,83,0.5,-0.18,False,1.7360736362472515
-0.1,5,conviction_curve,1,25.0,0.45455863767005167,1.873048552565659,-0.13842506002409072,3.283788626069173,13.352349744599822,83,0.5,-0.18,False,1.7360736362472515
-0.12,5,conviction_curve,1,25.0,0.45455863767005167,1.873048552565659,-0.13842506002409072,3.283788626069173,13.352349744599822,83,0.5,-0.18,False,1.7360736362472515
-0.08,3,winner_take_all,1,50.0,0.471628025147536,1.7099498637079873,-0.20386709940718917,2.313409208837277,14.474486904002099,83,0.5,-0.18,False,0.9984555898108394
-0.1,3,winner_take_all,1,50.0,0.471628025147536,1.7099498637079873,-0.20386709940718917,2.313409208837277,14.474486904002099,83,0.5,-0.18,False,0.9984555898108394
-0.12,3,winner_take_all,1,50.0,0.471628025147536,1.7099498637079873,-0.20386709940718917,2.313409208837277,14.474486904002099,83,0.5,-0.18,False,0.9984555898108394
-0.08,4,winner_take_all,1,25.0,0.443305008671971,1.7777417599601602,-0.17511394858478468,2.531523115403549,12.653975463387725,83,0.5,-0.18,False,0.36617876529218363
