rebalance_date,ticker,Name,sector,original_weight,defended_weight,cash_after_defense,list_action,reason,period_forward_return,risk_adjusted_return,hard_stop,risk_exit_proxy,target_n,weighting_mode,active_rebalance_interval_months,raw_score,concentrated_score,portfolio_sleeve_label
2026-02-27,ETR,ENTERGY CORP,Utilities,0.47019584810836196,0.47019584810836196,,hold,hold,0.04740041165361952,0.04740041165361952,-0.08,False,3,score_power,1,3.5579830339204364,0.705090422729002,early_scout
2026-02-27,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.27025528102583735,0.27025528102583735,,hold,hold,-0.05657827013290484,-0.05657827013290484,-0.08,False,3,score_power,1,2.4063779025598193,0.6237063828242935,early_scout
2026-02-27,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.25954887086580075,0.25954887086580075,,hold,hold,0.04356784208919762,0.04356784208919762,-0.08,False,3,score_power,1,5.408629673582296,0.6186022283456303,early_scout
