rebalance_date,hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,gross_return,original_gross_return,cost,turnover,net_return,return_delta,risk_exit_count,n_positions
2019-04-30,-0.08,3,score_power,1,25.0,-0.01704850654154231,-0.01704850654154231,0.00125,0.5,-0.01829850654154231,0.0,0,3
2019-05-31,-0.08,3,score_power,1,25.0,0.047616089636795075,0.047616089636795075,0.0019093158999943854,0.7637263599977542,0.04570677373680069,0.0,0,3
2019-06-28,-0.08,3,score_power,1,25.0,0.006262118146283828,0.006262118146283828,0.0012500000000000002,0.5000000000000001,0.005012118146283827,0.0,0,3
2019-07-31,-0.08,3,score_power,1,25.0,-0.022629363897971263,-0.022629363897971263,0.0020564016444449547,0.8225606577779819,-0.024685765542416218,0.0,0,3
2019-08-30,-0.08,3,score_power,1,25.0,-0.01078461109102435,-0.01078461109102435,0.0013366499278619935,0.5346599711447974,-0.012121261018886345,0.0,0,3
2019-09-30,-0.08,3,score_power,1,25.0,0.0596485581903852,0.0596485581903852,0.0011271730935847378,0.4508692374338951,0.05852138509680046,0.0,0,3
2019-10-31,-0.08,3,score_power,1,25.0,-0.012261253344500594,-0.012261253344500594,0.0015296826883057133,0.6118730753222853,-0.013790936032806308,0.0,0,3
2019-11-29,-0.08,3,score_power,1,25.0,0.030543764569263214,0.030543764569263214,0.0025,1.0,0.028043764569263215,0.0,0,3
2019-12-31,-0.08,3,score_power,1,25.0,0.07369284282838674,0.07369284282838674,0.0006878974975983639,0.27515899903934554,0.07300494533078838,0.0,0,3
2020-01-31,-0.08,3,score_power,1,25.0,-0.05089191469802563,-0.05089191469802563,0.00043385654604817276,0.1735426184192691,-0.0513257712440738,0.0,0,3
2020-02-28,-0.08,3,score_power,1,25.0,-0.0792492947999629,-0.0792492947999629,0.0013147499864199395,0.5258999945679758,-0.08056404478638284,0.0,0,3
2020-03-31,-0.08,3,score_power,1,25.0,0.14972211421001957,0.14972211421001957,0.0025,1.0,0.14722211421001957,0.0,0,3
2020-04-30,-0.08,3,score_power,1,25.0,0.24039010865472987,0.24039010865472987,0.0025,1.0,0.23789010865472987,0.0,0,3
2020-05-29,-0.08,3,score_power,1,25.0,0.058852702164952905,0.058852702164952905,0.0014783106501944387,0.5913242600777755,0.05737439151475847,0.0,0,3
2020-06-30,-0.08,3,score_power,1,25.0,0.11962139149910155,0.11962139149910155,0.0025,1.0,0.11712139149910154,0.0,0,3
2020-07-31,-0.08,3,score_power,1,25.0,0.17993603350910137,0.17993603350910137,0.0025,1.0,0.17743603350910137,0.0,0,3
2020-08-31,-0.08,3,score_power,1,25.0,-0.04192865143932544,-0.04192865143932544,0.0025,1.0,-0.044428651439325444,0.0,0,3
2020-09-30,-0.08,3,score_power,1,25.0,0.06219500237903063,0.06219500237903063,0.0025,1.0,0.05969500237903063,0.0,0,3
2020-10-30,-0.08,3,score_power,1,25.0,0.13090432554773312,0.13090432554773312,0.0017372151315141926,0.694886052605677,0.12916711041621892,0.0,0,3
2020-11-30,-0.08,3,score_power,1,25.0,0.0485660676357492,0.0485660676357492,0.0003393184105605513,0.13572736422422052,0.04822674922518865,0.0,0,3
2020-12-31,-0.08,3,score_power,1,25.0,0.01677195809089342,0.01677195809089342,0.0008341207233348605,0.3336482893339442,0.01593783736755856,0.0,0,3
2021-01-29,-0.08,3,score_power,1,25.0,0.12881230449395784,0.12881230449395784,0.0025,1.0,0.12631230449395783,0.0,0,3
2021-02-26,-0.08,3,score_power,1,25.0,-0.0002867863668352547,-0.0002867863668352547,0.00182415269819968,0.729661079279872,-0.002110939065034935,0.0,0,3
