rebalance_date,ticker,Name,sector,weight,portfolio_sleeve_label,portfolio_candidate_gate_label,leader_onset_score,alpha_selector_style,alpha_selector_score,target_stock_names,weighting_mode,active_rebalance_interval_months,research_only_backtest,production_activation_allowed
2019-05-31,HEI,HEICO CORP,Industrials,0.21036692242106206,future_winner,future_relaxed,0.4942310220354384,rs_heavy,0.9383374689826303,5,alpha_selector,1,True,False
2019-05-31,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,0.21000547923765364,future_winner,future_relaxed,0.457990584877088,rs_heavy,0.9375310173697272,5,alpha_selector,1,True,False
2019-05-31,AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,0.20006549241215635,early_scout,early_relaxed,0.4237014895761225,rs_heavy,0.915074441687345,5,alpha_selector,1,True,False
2019-05-31,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,0.1939286329635816,early_scout,early_relaxed,0.41750449507576387,rs_heavy,0.9009305210918116,5,alpha_selector,1,True,False
2019-05-31,WRB,WR BERKLEY CORP,Financials,0.18563347296554633,early_scout,early_relaxed,0.332519374187256,rs_heavy,0.8814516129032258,5,alpha_selector,1,True,False
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,0.22249808502687587,core_compounder,core_strict,0.5040057289303804,rs_heavy,0.956219512195122,5,alpha_selector,1,True,False
2019-06-28,LPX,LOUISIANA PACIFIC CORP,Materials,0.19779931450792487,early_scout,early_relaxed,0.4021376460944259,rs_heavy,0.9015853658536587,5,alpha_selector,1,True,False
2019-06-28,ACM,AECOM,Industrials,0.19430994283279981,early_scout,early_relaxed,0.4614689142017162,rs_heavy,0.8935975609756096,5,alpha_selector,1,True,False
2019-06-28,URI,UNITED RENTALS INC,Industrials,0.19338292449216601,early_scout,early_relaxed,0.6093019994897079,rs_heavy,0.8914634146341464,5,alpha_selector,1,True,False
2019-06-28,ALLE,ALLEGION PLC,Industrials,0.19200973314023345,early_scout,early_relaxed,0.38491523786217324,rs_heavy,0.8882926829268294,5,alpha_selector,1,True,False
2019-07-31,CTAS,CINTAS CORP,Industrials,0.2102469542098783,early_scout,early_relaxed,0.5892881704772105,rs_heavy,0.9716101694915255,5,alpha_selector,1,True,False
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,0.2053506926096324,core_compounder,core_strict,0.510611139574453,rs_heavy,0.960230024213075,5,alpha_selector,1,True,False
2019-07-31,TER,TERADYNE INC,Information Technology,0.1960093717332248,early_scout,early_relaxed,0.5980920491823485,rs_heavy,0.9381355932203389,5,alpha_selector,1,True,False
2019-07-31,SHW,SHERWIN WILLIAMS,Materials,0.19598407775361007,future_winner,future_relaxed,0.48976287882118086,rs_heavy,0.9380750605326875,5,alpha_selector,1,True,False
2019-07-31,TXN,TEXAS INSTRUMENT INC,Information Technology,0.1924089036936545,core_compounder,core_strict,0.4296357984628443,rs_heavy,0.9294794188861984,5,alpha_selector,1,True,False
2019-08-30,RMD,RESMED INC,Health Care,0.21157227172891285,future_winner,future_relaxed,0.5427541557771252,rs_heavy,0.969390243902439,5,alpha_selector,1,True,False
2019-08-30,HD,HOME DEPOT INC,Consumer Discretionary,0.2062299535873394,core_compounder,core_strict,0.5514151047256234,rs_heavy,0.9570731707317074,5,alpha_selector,1,True,False
2019-08-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.1955966779886523,early_scout,early_relaxed,0.5069833015038308,rs_heavy,0.9320731707317075,5,alpha_selector,1,True,False
2019-08-30,EW,EDWARDS LIFESCIENCES CORP,Health Care,0.19380936701959384,future_winner,future_relaxed,0.5143651615793445,rs_heavy,0.9278048780487805,5,alpha_selector,1,True,False
2019-08-30,MLM,MARTIN MARIETTA MATERIALS INC,Materials,0.1927917296755016,early_scout,early_relaxed,0.4581540396936294,rs_heavy,0.9253658536585365,5,alpha_selector,1,True,False
2019-09-30,SHW,SHERWIN WILLIAMS,Materials,0.21540137779957066,future_winner,future_relaxed,0.5762388489992802,rs_heavy,0.9873205741626795,5,alpha_selector,1,True,False
2019-09-30,LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0.19682196087929837,future_winner,future_relaxed,0.45264978610521167,rs_heavy,0.9437799043062202,5,alpha_selector,1,True,False
2019-09-30,MLM,MARTIN MARIETTA MATERIALS INC,Materials,0.19672219052942247,early_scout,early_relaxed,0.4948965662372211,rs_heavy,0.9435406698564593,5,alpha_selector,1,True,False
2019-09-30,HD,HOME DEPOT INC,Consumer Discretionary,0.19602450629927903,core_compounder,core_strict,0.48154294413890397,rs_heavy,0.941866028708134,5,alpha_selector,1,True,False
2019-09-30,MDT,MEDTRONIC PLC,Health Care,0.1950299644924293,core_compounder,core_strict,0.5096812423329752,rs_heavy,0.9394736842105263,5,alpha_selector,1,True,False
2019-10-31,AAPL,APPLE INC,Information Technology,0.21139343747630238,core_compounder,core_strict,0.6132163690115133,rs_heavy,1.0,5,alpha_selector,1,True,False
2019-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.2099355134451849,early_scout,early_relaxed,0.5369443522162639,rs_heavy,0.9965456674473068,5,alpha_selector,1,True,False
2019-10-31,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.20357086421476092,early_scout,early_relaxed,0.5409590936438506,rs_heavy,0.9813231850117096,5,alpha_selector,1,True,False
2019-10-31,LPX,LOUISIANA PACIFIC CORP,Materials,0.191630080324773,early_scout,early_relaxed,0.5092365644949676,rs_heavy,0.9521077283372366,5,alpha_selector,1,True,False
2019-10-31,OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Real Estate,0.18347010453897886,early_scout,early_relaxed,0.5059134739888641,rs_heavy,0.9316159250585481,5,alpha_selector,1,True,False
2019-11-29,BABA,Alibaba Group,Internet,0.21701408841509945,future_winner,adr_global_alpha_fallback,0.6154674722594075,rs_heavy,0.9651829268292683,5,alpha_selector,1,True,False
2019-11-29,AAPL,APPLE INC,Information Technology,0.2045576257978096,core_compounder,core_strict,0.5874744812218788,rs_heavy,0.9370731707317074,5,alpha_selector,1,True,False
2019-11-29,QRVO,QORVO INC,Information Technology,0.19701479612648276,early_scout,early_relaxed,0.6254696566001297,rs_heavy,0.9196341463414633,5,alpha_selector,1,True,False
2019-11-29,TSLA,TESLA INC,Consumer Discretionary,0.19628395225549142,early_scout,early_relaxed,0.5199135750483816,rs_heavy,0.9179268292682927,5,alpha_selector,1,True,False
2019-11-29,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.1851295374051168,early_scout,early_relaxed,0.4589707293311931,rs_heavy,0.8914634146341462,5,alpha_selector,1,True,False
2019-12-31,BABA,Alibaba Group,Internet,0.22131996131210313,future_winner,adr_global_alpha_fallback,0.7473552422595524,rs_heavy,1.0,5,alpha_selector,1,True,False
2019-12-31,TSLA,TESLA INC,Consumer Discretionary,0.20546978949995945,early_scout,early_relaxed,0.6486742977643912,rs_heavy,0.9635265700483093,5,alpha_selector,1,True,False
2019-12-31,RMD,RESMED INC,Health Care,0.20190550022549797,future_winner,future_relaxed,0.5243670909870568,rs_heavy,0.9551328502415459,5,alpha_selector,1,True,False
2019-12-31,QRVO,QORVO INC,Information Technology,0.18996075085708064,future_winner,rejected,0.6654885792250724,rs_heavy,0.926449275362319,5,alpha_selector,1,True,False
2019-12-31,CROX,CROCS INC,Consumer Discretionary,0.1813439981053588,early_scout,early_relaxed,0.6278432268263217,rs_heavy,0.905193236714976,5,alpha_selector,1,True,False
2020-01-31,GOOG,ALPHABET INC CLASS C,Communication,0.21005769738993035,future_winner,future_relaxed,0.6673624457718553,rs_heavy,1.0,5,alpha_selector,1,True,False
2020-01-31,BABA,Alibaba Group,Internet,0.21005769738993035,future_winner,adr_global_alpha_fallback,0.7065497921980146,rs_heavy,1.0,5,alpha_selector,1,True,False
