portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,840
concentrated,cash,cash_binding,811
concentrated,cap_or_replacement,cap_binding,293
concentrated,unknown_requires_investigation,unknown,14
main,candidate_gate,candidate_gate,783
main,cash,cash_binding,664
main,cap_or_replacement,cap_binding,336
