rebalance_date,original_return,gross_defended_return,defense_turnover,cost,net_return,return_delta,risk_exit_count,relative_trim_count
2019-04-30,-0.02169392632949642,-0.012208194021087717,0.218546733818508,0.00054636683454627,-0.012754560855633987,0.008939365473862431,4,0
2019-05-31,0.04964477168503814,0.04964477168503814,0.0414827253277468,0.000103706813319367,0.049541064871718776,-0.00010370681331936527,1,0
2019-06-28,0.029121716848773148,0.029121716848773148,0.10925426949597371,0.00027313567373993426,0.028848581175033215,-0.00027313567373993264,2,0
2019-07-31,0.04956692580335754,0.04956692580335754,0.0458492321194549,0.00011462308029863725,0.0494523027230589,-0.00011462308029863699,1,0
2019-08-30,-0.045235497799468435,-0.01113177476728729,0.254641616226272,0.0006366040405656801,-0.01176837880785297,0.03346711899161547,4,0
2019-09-30,0.013945638205538378,0.016253214282918975,0.2559456001352709,0.0006398640003381773,0.015613350282580797,0.0016677120770424193,4,0
2019-10-31,0.0007252746917099007,0.0007832556656006476,0.0525796662176871,0.00013144916554421775,0.0006518065000564299,-7.34681916534708e-05,2,0
2019-11-29,0.04990010121544597,0.04990010121544597,0.1624706258366892,0.000406176564591723,0.04949392465085425,-0.00040617656459172174,3,0
2019-12-31,-0.025476195319068307,-0.017047008810614255,0.2223859674036659,0.0005559649185091647,-0.01760297372912342,0.007873221589944888,2,0
2020-01-31,-0.0316003599577097,-0.026731109452960717,0.13573224444887022,0.00033933061112217553,-0.027070440064082893,0.004529919893626805,3,0
2020-02-28,-0.08789533031914219,-0.04137491664824588,0.4370115116000812,0.001092528779000203,-0.04246744542724608,0.045427884891896114,8,0
2020-03-31,0.08607354990487229,0.08607354990487229,0.0,0.0,0.08607354990487229,0.0,0,0
2020-04-30,0.09377363922205559,0.0938529908931303,0.0192920857368147,4.823021434203675e-05,0.09380476067878826,3.1121456732674524e-05,1,0
2020-05-29,0.06394626277715434,0.06452733468640591,0.105362532710847,0.0002634063317771175,0.0642639283546288,0.0003176655774744519,2,0
2020-06-30,0.1274580800963735,0.12833301911732242,0.0136489814941013,3.412245373525325e-05,0.12829889666358718,0.0008408165672136869,1,0
2020-07-31,0.07833923576751001,0.07705149750340004,0.0136017263470037,3.400431586750925e-05,0.07701749318753254,-0.0013217425799774696,0,1
