as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,monster_recommendation,monster_stage,monster_priority_score,monster_reason,risk_state,account_source,approval_status,forward_pe_final,valuation_blueprint_score,fcf_margin,sales_growth_yoy,eps_growth_yoy,market_cap_live,dollar_vol_20d,score,rs_benchmark_3m,rs_benchmark_6m,price_available,price_latest_date,close,ret_1m,ret_3m,ret_6m,spy_excess_3m,qqq_excess_3m,price_to_ma50,price_to_ma200,drawdown_from_63d_high,decision_cadence,new_buy_allowed,full_universe_rerank_today,crisis_state
2026-07-02,current_broker_ledger_mark_to_market,concentrated,equity,MU,404.0,957.0700073242188,386656.2829589844,0.2850160248649426,1035.5,-31685.717041015625,71694.52289827344,2026-06-01,2026-06-01,31.0,1,404.0,1035.5,target_rebalance,future_winner,WARNING_NO_ADD,1M weakness; no add,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,55.1938,-1.055504387419831,,0.0,0.0,1080908311299.4924,61303858332.68672,5.721081334080266,1.4555573669661626,2.1883300358469238,True,2026-07-02,957.0700073242188,-0.1005826244876884,1.6017941863371683,2.271954672743186,1.4622136200506646,1.3808958870269017,1.1236966955801944,2.1549301501280085,-0.21135340558813953,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,221.0,1712.0,378352.0,0.2788946870705314,1119.7202807702254,130893.8179497802,49541.69545170907,2026-05-01,2026-05-01,62.0,1,221.0,1187.0,target_rebalance,future_winner,HOLD_REVIEW,no daily breakdown signal,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,71.7859,-1.2555135570406848,,0.0,0.0,253529665696.0,23174023091.287914,6.37357902739042,1.3251445965762874,6.043175759824628,True,2026-07-02,1712.0,-0.00254025110627909,1.471381415947293,6.126800396720891,1.3318008496607894,1.2504831166370265,1.063490906954769,2.434614011636069,-0.26680942184154177,daily_current_holdings_review,True,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,concentrated,equity,AMD,281.0,511.4363098144531,143713.60305786133,0.105935637587751,510.1300048828125,367.0716857910156,15806.91437440872,2026-06-01,2026-06-01,31.0,1,281.0,510.1300048828125,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,174.9323,-2.7117200442380733,,0.3433779329067288,1.6287165913347763,833948373591.2493,16365718627.205711,6.95378005493635,1.2867411240178073,1.2913930955827368,True,2026-07-02,511.4363098144531,-0.019372758826861958,1.432977943388813,1.3750177324789998,1.2933973771023093,1.2120796440785464,1.1112065962789492,1.8386768933630786,-0.11959454397728675,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,concentrated,equity,UMC,4878.0,24.354999542236328,118803.6877670288,0.0875737866394537,22.88999938964844,7146.2707443237305,0.0,2026-06-01,2026-06-01,31.0,1,4878.0,22.88999938964844,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,36.518,-0.3799234615284059,,,-0.1908712067745176,61577895936.0,466358082.8924166,4.753771223859159,1.5689246987126042,1.976048657766935,True,2026-07-02,24.354999542236328,0.08437224109567087,1.71516151808361,2.059673294663198,1.5755809517971062,1.4942632187733433,1.2568181749215783,2.1454321634537457,-0.13048913447978994,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,concentrated,equity,WDC,182.0,536.510009765625,97644.82177734376,0.0719769474289817,393.5670409606535,26015.62032250481,178456.62061472813,2026-05-01,2026-05-01,62.0,1,182.0,431.4075012207031,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,39.5042,-0.737638847197517,,0.0,0.0,184925413468.84644,6694643472.6138,6.877710412092686,0.6562347922824421,1.9659423005078869,True,2026-07-02,536.510009765625,-0.04697224729425353,0.8024716116534478,2.04956693740415,0.6628910453669441,0.5815733123431812,1.013240880565802,1.8474804430869947,-0.281039325934597,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,FLEX,553.0,136.35000610351562,75401.55337524414,0.1138381246311517,148.00999450683594,-6447.973587036133,0.0,2026-06-01,2026-06-01,31.0,1,553.0,148.00999450683594,target_rebalance,future_winner,WARNING_NO_ADD,1M weakness; no add,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,56.76776367868566,0.0528527569120205,0.0541305438131403,3.362925914348234,0.0849437352509032,49955632037.24338,1462716397.4292023,4.9818330072964825,0.8518582915889485,1.1273370973652497,True,2026-07-02,136.35000610351562,-0.1447656503328164,0.9980951109599543,1.2109617342615127,0.8585145446734506,0.7771968116496877,1.0109615760114852,1.6730975610183711,-0.15869685974191772,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,SNDK,44.0,1712.0,75328.0,0.1137270768088818,768.0426355580814,41534.124035444416,18394.924376726,2026-03-02,2026-05-01,122.0,2,44.0,825.5963745117188,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,71.7859,-1.2555135570406848,,0.0,0.0,253529665696.0,23174023091.287914,6.37357902739042,1.3251445965762874,6.043175759824628,True,2026-07-02,1712.0,-0.00254025110627909,1.471381415947293,6.126800396720891,1.3318008496607894,1.2504831166370265,1.063490906954769,2.434614011636069,-0.26680942184154177,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,UMC,1938.0,24.354999542236328,47199.989112854,0.071260577570305,22.88999938964844,2839.170295715332,0.0,2026-06-01,2026-06-01,31.0,1,1938.0,22.88999938964844,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,36.518,-0.3799234615284059,,,-0.1908712067745176,61577895936.0,466358082.8924166,4.753771223859159,1.5689246987126042,1.976048657766935,True,2026-07-02,24.354999542236328,0.08437224109567087,1.71516151808361,2.059673294663198,1.5755809517971062,1.4942632187733433,1.2568181749215783,2.1454321634537457,-0.13048913447978994,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,WDC,85.0,536.510009765625,45603.350830078125,0.0688500395947679,337.1477259055395,16945.794128107267,46076.37423698979,2026-05-01,2026-05-01,62.0,1,85.0,431.4075012207031,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,39.5042,-0.737638847197517,,0.0,0.0,184925413468.84644,6694643472.6138,6.877710412092686,0.6562347922824421,1.9659423005078869,True,2026-07-02,536.510009765625,-0.04697224729425353,0.8024716116534478,2.04956693740415,0.6628910453669441,0.5815733123431812,1.013240880565802,1.8474804430869947,-0.281039325934597,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,RKLB,452.0,99.8000030517578,45109.60137939453,0.0681045972399698,122.38999938964844,-10210.678344726562,-2587.9349344086645,2026-06-01,2026-06-01,31.0,1,452.0,122.38999938964844,target_rebalance,future_winner,WARNING_NO_ADD,below MA50; no add until recovered,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,,-1.179553671878084,,0.3795957947246076,-0.032764531118498,57759350568.207855,3040750484.1648893,1.9184400140534263,0.3769623284470071,0.3329829908525121,True,2026-07-02,99.80000305175781,-0.19072329469080873,0.5231991478180129,0.41660762774877513,0.3836185815315092,0.3023008485077463,0.93344136098896,1.3153399260975707,-0.3356852433600701,daily_current_holdings_review,False,False,GREEN
