portfolio,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,0.21403316158616126,0.25,False,3.5967,-0.2727261662085777,-0.2,False,7.2726,1.1831414285357171,0.4858881015027757,False
concentrated,0.3484912610130364,0.4,False,5.1509,-0.22940113109440408,-0.22,False,0.9401,1.4286886669635341,0.0,False
