signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.006311982082846596,687,,6,0.024120332330172734,134,0.019833639479722942,325,-0.016535493254500686,194,,6
h1_oversold_value_score,,687,,6,,134,,325,,194,,6
h6_dynamic_leader_score,-0.014957914366456193,687,,6,-0.1358674707345296,134,-0.0040487621784125035,325,0.0030291604081882457,194,,6
stage2_overext_penalty,,687,,6,,134,,325,,194,,6
theme_phase_multiplier_primary,-0.02658097722548708,687,,6,-0.08046798163537189,134,-0.09378875108287504,325,0.05517751866384477,194,,6
theme_phase_multiplier_max,-0.03512206787934188,687,,6,-0.07569751322945749,134,-0.12149504688215398,325,0.03917806221407631,194,,6
explosion_entry_score,,687,,6,,134,,325,,194,,6
explosion_exit_score,,687,,6,,134,,325,,194,,6
explosion_net_score,,687,,6,,134,,325,,194,,6
