ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
DDOG,-41200.57148742676,0.07561818421699099,0.2193785916758036,29,Information Technology,Software - Application,MARKET_LEADER
BLD,-22445.039672851562,0.1342050587447453,0.216469457112761,41,Consumer Discretionary,Construction & Engineering,MARKET_LEADER
NVDA,-20868.256641387947,0.07415330922382891,0.0794253640761967,22,Information Technology,Semiconductors,MARKET_LEADER
ORLY,-15148.319664001465,0.06034773539493115,0.1048540301115982,41,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER
STLD,-12722.422149658203,0.0191051883449918,0.0313985628721595,42,Materials,Metals & Mining,MARKET_LEADER
MA,-12040.750091552734,0.04628581295349272,0.108853548460203,123,Financials,Consumer Finance,QUALITY_COMPOUNDER
MLI,-11278.207572937012,0.074062631427362,0.1072085418973728,42,Industrials,Other,MARKET_LEADER
XPO,-10614.060512542725,0.18336575749503603,0.230659287555947,33,Industrials,Transportation & Logistics,MARKET_LEADER
AMD,-8636.920059204102,0.05567536873932312,0.0792652275864991,42,Information Technology,Semiconductors,MARKET_LEADER
NET,-8209.82844543457,0.26489878746703593,0.2749856140907004,7,Information Technology,Software - Infrastructure,MARKET_LEADER
TMUS,-4915.389221191406,0.023018473874202992,0.0404141855975619,42,Communication,Communication Equipment,MARKET_LEADER
WCC,-4626.724914550781,0.049662066616239564,0.0679464453410878,65,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER
LOPE,-3260.2000045776367,0.07651096907347706,0.0910832751733034,42,Consumer Discretionary,Other,MARKET_LEADER
DXCM,-2982.243133544922,0.09990605550333861,0.1041246090145144,7,Health Care,Medical Devices,MARKET_LEADER
RKLB,-2784.8698539733905,0.06422335683468955,0.0760487387396314,22,Industrials,Aerospace & Defense,MARKET_LEADER
FANG,-2724.0411300659184,0.0278728215240591,0.0392858134578631,43,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER
ONTO,-2394.0994567871094,0.11715260805034235,0.1202672841896214,13,Information Technology,Semiconductors,MARKET_LEADER
CTAS,-1920.6499710083008,0.01761471726916771,0.0233117342469416,44,Industrials,Commercial Services,QUALITY_COMPOUNDER
JBL,-1894.3901901245117,0.12506707143035986,0.2920441323883176,123,Information Technology,Tech Hardware & Storage,MARKET_LEADER
TSLA,-893.4592590332031,0.07311968450872118,0.077407288407262,29,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
MSI,-854.35546875,0.11173408704376514,0.1142565455621857,22,Information Technology,Communication Equipment,QUALITY_COMPOUNDER
PCTY,-807.119384765625,0.09054199644751458,0.0925079521239465,7,Industrials,Software - Application,MARKET_LEADER
TXRH,-772.0100326538086,0.11295922185884856,0.1175276102929488,22,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER
BRKR,-717.3528137207036,0.019007624282074743,0.021447286104582,23,Health Care,Medical Devices,QUALITY_COMPOUNDER
DAL,-592.466926574707,0.09939431005060206,0.1043453415747355,20,Industrials,Transportation & Logistics,MARKET_LEADER
RGLD,-477.0076522827153,0.018333283378354256,0.0202005360077616,21,Materials,Metals & Mining,MARKET_LEADER
CHE,-371.57470703125,0.06148931995005742,0.0626248257468841,22,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER
CW,-94.99905395507812,0.014571757401928462,0.0153129365399066,21,Industrials,Aerospace & Defense,QUALITY_COMPOUNDER
LOW,-88.5889892578125,0.01224768167722891,0.0129102287735974,21,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
AFG,-44.748687744140625,0.0409878326833179,0.0424050316026112,21,Financials,Insurance,QUALITY_COMPOUNDER
