portfolio,metric_source,official_source_pass,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,True,0.3955897341299561,0.3,True,0.0,-0.2446401397858049,-0.25,True,0.0,1.3888433327909948,0.0,True
concentrated,broker_ledger_next_close,True,0.5061913086803371,0.5,True,0.0,-0.2382821042534532,-0.28,True,0.0,1.5175320432622932,0.0,True
