ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
BE,928.0,328.9100036621094,2026-06-18,305228.4833984375,290.5199890136719,0.23621282212516514
CIEN,213.0,428.2200012207031,2026-06-18,91210.86026000977,439.58195397146454,0.07058703850504167
LITE,64.0,850.0,2026-06-18,54400.0,537.4465250007976,0.042099535995252936
SNDK,227.0,2184.75,2026-06-18,495938.25,1119.450046085576,0.38380092292826745
WDC,363.0,746.22998046875,2026-06-18,270881.48291015625,393.3635587028141,0.20963207243058118
