row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,171.0,2184.75,373592.25,0.28567221990791736
equity,BE,1133.0,328.9100036621094,372655.0341491699,0.2849555655002322
equity,WDC,293.0,746.22998046875,218645.38427734375,0.1671900642990545
equity,CIEN,371.0,428.2200012207031,158869.62045288086,0.12148174152623012
equity,LITE,97.0,850.0,82450.0,0.0630464752183906
cash,CASH,0.0,1.0,101553.12884453562,0.07765393354817517
