snapshot_date,base_rebalance_date,portfolio_kind,governor_mode,crisis_score,raw_crisis_score,crisis_zone,event_reason,stock_weight,cash_weight,row_count,cash_hard_gate_enabled,cash_hard_gate_allowed,cash_hard_gate_reason,liquidity_confirmation_score,market_trend_damage_score,credit_stress_score,shakeout_guard_score
2019-06-28,2019-06-28,concentrated,conservative,0.021225719021975644,0.021225719021975644,normal,base_rebalance,0.9000000000000001,0.09999999999999992,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,2019-07-31,concentrated,conservative,0.0449568852560331,0.0449568852560331,normal,base_rebalance,0.9000000000000001,0.09999999999999992,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-08-30,2019-08-30,concentrated,conservative,0.07154743213270594,0.07154743213270594,normal,base_rebalance,0.8499999999999999,0.15,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-09-30,2019-09-30,concentrated,conservative,0.02168329798471202,0.02168329798471202,normal,base_rebalance,0.8500000000000001,0.15000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-10-31,2019-10-31,concentrated,conservative,0.021434636984425274,0.021434636984425274,normal,base_rebalance,0.65,0.35000000000000003,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-11-29,2019-11-29,concentrated,conservative,0.005989131686070624,0.005989131686070624,normal,base_rebalance,0.9606468865158077,0.03935311348419221,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-12-31,2019-12-31,concentrated,conservative,0.009655820164113128,0.009655820164113128,normal,base_rebalance,0.8742525813899172,0.12574741861008282,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-01-31,2020-01-31,concentrated,conservative,0.25136057714494037,0.25136057714494037,normal,base_rebalance,0.9842634768430099,0.015736523156990104,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-02-27,2020-01-31,concentrated,conservative,0.5818406303498265,0.5818406303498265,caution,crisis_governor_caution,0.95,0.05000000000000001,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-02-28,2020-02-28,concentrated,conservative,0.6113451631396936,0.6113451631396936,caution,crisis_governor_caution,0.9000000000000001,0.10000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-02,2020-02-28,concentrated,conservative,0.32392589555436374,0.32392589555436374,normal,crisis_governor_reentry,0.5304635332069084,0.4695364667930914,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-03,2020-02-28,concentrated,conservative,0.5951067459903584,0.5951067459903584,caution,crisis_governor_caution,0.9000000000000001,0.10000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-04,2020-02-28,concentrated,conservative,0.2798514015189395,0.2798514015189395,normal,crisis_governor_reentry,0.5304635332069084,0.4695364667930914,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-05,2020-02-28,concentrated,conservative,0.6051444894982552,0.6051444894982552,caution,crisis_governor_caution,0.9000000000000001,0.10000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-09,2020-02-28,concentrated,conservative,0.7647058823529412,0.7647058823529412,defense,crisis_governor_defense,0.75,0.25000000000000006,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-10,2020-02-28,concentrated,conservative,0.608841134009217,0.608841134009217,caution,crisis_governor_caution,0.9000000000000001,0.10000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
