ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
DDOG,-42141.08151245117,-0.41680986313196267
BLD,-23060.939666748047,-0.22809160945125945
ORLY,-15021.063003540039,-0.1485706343998844
MA,-12456.716705322266,-0.12320714605971689
MLI,-11599.159507751465,-0.1147252019491533
XPO,-11120.550518035892,-0.10999136645330508
AMD,-8970.000061035156,-0.08872065840619406
NET,-8761.018341064453,-0.0866536577747002
NVDA,-8632.2995262146,-0.08538052311193119
WCC,-6250.767822265624,-0.06182522106601404
LOPE,-3885.08002471924,-0.038426628250665375
STLD,-3820.401222229004,-0.03778690184009546
ON,-3756.4794921875,-0.03715466349704569
DXCM,-3003.698120117191,-0.029709038244921826
RKLB,-2869.25984954834,-0.02837933347360635
FANG,-2711.268814086914,-0.02681667253792778
ONTO,-2447.899444580078,-0.024211733440081866
CTAS,-1835.2139892578125,-0.018151771720770888
MSI,-878.7612304687464,-0.008691669388910481
PCTY,-807.119384765625,-0.00798307276940473
TXRH,-788.3473968505896,-0.007797402410867089
BRKR,-730.1620330810547,-0.00722190143560385
JBL,-626.9435806274414,-0.006200986274060786
DAL,-572.3030319213867,-0.005660546427473154
TSLA,-554.3992309570294,-0.005483463150023553
RGLD,-477.007431030273,-0.004717994766743531
CHE,-390.1547241210974,-0.0038589502529296693
PLNT,-382.6300506591797,-0.0037845250601436712
CW,-100.27735900878906,-0.000991825334889392
LOW,-81.20674133300804,-0.0008032012830615887
DPZ,-54.124908447265625,-0.0005353397414650876
AFG,-41.198974609375,-0.00040749165308054684
RRX,-40.2110595703125,-0.00039772036298928555
CARR,66.19609069824583,0.0006547336355298482
FDS,101.8646850585942,0.001007525291554472
FTNT,112.607666015625,0.001113782185341269
BWA,719.53857421875,0.0071168267133740245
ANET,1255.8174686431885,0.012421064871560982
MOS,1438.1215972900386,0.014224202242091782
INTU,3727.752227783203,0.03687052728803613
CPRT,4514.870231628418,0.04465576999364852
BKR,5360.4233322143555,0.05301898373845712
CHRW,6075.073089599609,0.060087456043208656
AVGO,15715.268608093258,0.1554368972634461
SQM,17697.075073242188,0.1750385888158734
BLDR,18216.799697875977,0.18017909166689572
LPX,19177.205200195312,0.18967828987457888
LRCX,27211.71640014648,0.2691461960932268
ACLS,32205.02069091797,0.3185340713758716
