priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
100,holding_history,lifecycle_review_overlay_main,CEG,review_trim_or_exit,open_stale_watch,2025-06-30,2026-02-27,open,9,-0.11538130819687786,-0.24497495737357777,0.0698957533814166,historical_open_stale_watch
100,holding_history,lifecycle_review_overlay_main,NVDA,review_trim_or_exit,open_stale_watch,2025-06-30,2026-02-27,open,9,0.19887681947948854,-0.09778232561878275,0.33,historical_open_stale_watch
100,holding_history,lifecycle_review_overlay_main,GOOGL,review_trim_or_exit,open_stale_watch,2025-07-31,2026-02-27,open,8,0.59127520898657,-0.05227676694822714,0.1392116371737488,historical_open_stale_watch
85,holding_history,production_main,CSGP,study_premature_exit_or_fast_capture,short_big_win_review,2020-06-30,2020-07-31,closed,2,0.20261935016813992,0.20261935016813992,0.034504281710459,historical_short_big_win_review
85,holding_history,main_v2_research,LRCX,study_premature_exit_or_fast_capture,short_big_win_review,2019-08-30,2019-10-31,closed,3,0.20385695514345437,0.20385695514345437,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,TTWO,study_premature_exit_or_fast_capture,short_big_win_review,2017-07-31,2017-07-31,closed,1,0.20453690321550444,0.20453690321550444,0.0300866570104072,historical_short_big_win_review
85,holding_history,production_main,UAL,study_premature_exit_or_fast_capture,short_big_win_review,2025-07-31,2025-07-31,closed,1,0.20554837288850947,0.20554837288850947,0.0406781045865233,historical_short_big_win_review
85,holding_history,main_v2_research,LAD,study_premature_exit_or_fast_capture,short_big_win_review,2019-09-30,2019-09-30,closed,1,0.20599123663849062,0.20599123663849062,0.0068384795836988,historical_short_big_win_review
85,holding_history,production_main,AMD,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2,0.20665461758825843,0.20665461758825843,0.0233690375401692,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,NRG,study_premature_exit_or_fast_capture,short_big_win_review,2024-08-30,2024-10-31,closed,3,0.20686192021667504,0.20686192021667504,0.2563394369126786,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,CBRE,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-10-30,closed,1,0.2164443248068062,0.2164443248068062,0.1477787276967504,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,XYZ,study_premature_exit_or_fast_capture,short_big_win_review,2020-06-30,2020-06-30,closed,1,0.21829402111484209,0.21829402111484209,0.0780647012203176,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,ANET,study_premature_exit_or_fast_capture,short_big_win_review,2022-09-30,2022-10-31,closed,2,0.21920431534006402,0.21920431534006402,0.062510807143214,historical_short_big_win_review
